#size	rtt
1	3.247500
1	1.412500
1	1.370000
1	1.245000
1	1.244500
1	1.294000
1	1.758500
1	1.681500
1	2.020000
1	1.704000
1	1.684000
1	1.653500
1	1.688500
1	2.460000
1	118.761000
1	2.842500
1	2.271000
1	1.667500
1	1.599500
1	2.080500
1	1.702000
1	1.603000
1	1.609000
1	1.595500
1	1.584000
1	1.691500
1	1.613000
1	1.696000
1	1.617500
1	1.608000
1	1.599500
1	1.753500
1	1.639000
1	2.193000
1	1.760000
1	1.585500
1	1.561000
1	1.615000
1	1.580000
1	1.573000
1	1.579000
1	1.641000
1	1.575500
1	1.568500
1	1.637500
1	1.580000
1	1.559000
1	1.788000
1	1.637500
1	1.190500
1	1.189000
1	1.185500
1	1.185500
1	1.630000
1	1.552000
1	1.559000
1	1.713500
1	1.585000
1	1.611500
1	1.581500
1	1.581500
1	1.639000
1	1.796000
1	1.746500
1	1.585000
1	1.621500
1	1.587000
1	1.563500
1	1.596000
1	1.575000
1	1.703500
1	1.578500
1	1.596500
1	1.585000
1	1.575000
1	1.585000
1	1.769500
1	1.573500
1	4.809500
1	1.617500
1	1.590000
1	1.576500
1	1.577000
1	1.637500
1	1.671500
1	1.565500
1	1.581000
1	1.558000
1	1.599500
1	1.563000
1	1.811000
1	1.563500
1	1.612000
1	1.564000
1	1.199500
1	1.185500
1	1.176500
1	1.631500
1	1.568000
1	1.718500
1	1.581500
1	1.572000
1	1.560500
1	1.573500
1	1.585500
1	1.809500
1	1.587000
1	1.180000
1	1.170000
1	1.186500
1	1.563000
1	1.572000
1	1.563000
1	1.724000
1	1.613500
1	1.583500
1	1.604000
1	1.639500
1	1.585500
1	1.791500
1	1.583000
1	1.580000
1	1.568000
1	1.607500
1	1.573500
1	1.591000
1	1.541500
1	1.661500
1	1.636000
1	1.597500
1	1.580000
1	1.565000
1	1.601500
1	1.869000
1	1.571500
1	1.597500
1	1.577000
1	1.589500
1	1.549000
1	1.625000
1	1.551500
1	1.737500
1	1.645500
1	1.566000
1	1.567500
1	1.591500
1	1.598500
1	1.930000
1	1.571500
1	1.581500
1	1.604000
1	1.582500
1	1.593000
1	1.561500
1	1.539500
1	2.367000
1	1.607500
1	1.573000
1	1.541500
1	1.559000
1	1.555500
1	1.806000
1	1.572000
1	1.603500
1	1.559500
1	1.580000
1	1.565000
1	1.629500
1	1.575000
1	5.477500
1	1.181000
1	1.174500
1	1.555000
1	1.629500
1	1.556500
1	12.900500
1	1.753500
1	1.575000
1	1.562000
1	1.560000
1	1.563500
1	1.557500
1	1.596000
1	2.531000
1	1.686000
1	1.571500
1	1.597500
1	1.569000
1	1.606000
1	1.834500
1	1.609500
1	1.645500
1	1.585000
1	1.611500
1	1.594000
1	1.597500
1	1.623500
1	1.808000
1	1.637500
1	1.580000
1	1.582500
1	1.623500
1	1.568000
1	2.507000
1	1.569500
1	1.563500
1	1.606000
1	1.198000
1	1.187000
1	1.189500
1	1.562000
1	1.575500
1	1.716000
1	1.606000
1	1.567000
1	1.637500
1	1.609000
1	1.575500
1	1.793500
1	1.603500
1	1.202000
1	1.202000
1	1.179500
1	1.579500
1	1.604000
1	1.567500
1	1.705500
1	1.571500
1	1.579500
1	1.568000
1	1.569000
1	1.614000
1	1.744000
1	1.561000
1	1.567000
1	1.602500
1	1.177000
1	1.193000
1	1.173000
1	1.543500
1	1.547500
1	1.726500
1	1.595500
1	1.566500
1	1.553000
1	1.591500
1	1.563000
1	1.783500
1	1.571500
1	1.603000
1	1.569500
1	1.571500
1	1.603500
1	1.575000
1	1.187500
1	1.415000
1	1.223000
1	1.626000
1	1.621500
1	1.583500
1	1.571500
1	2.456000
1	1.563000
1	1.609500
1	1.195500
1	1.190500
1	1.185500
1	1.199500
1	1.174500
1	1.200500
1	1.371000
1	1.633500
1	1.619500
1	1.604000
1	1.573500
1	1.575000
1	1.725500
