system,condition,tput,itl_mean,itl_p99,tput_drop_frac,itl_inflation
streaminfer,none,17403.0,167.0,198.0,,
streaminfer,single-link,17501.0,163.0,195.0,-0.005631213009251279,0.9760479041916168
streaminfer,single-link-2x,17658.0,165.0,199.0,-0.014652646095500776,0.9880239520958084
streaminfer,all-links,17495.0,163.0,190.0,-0.005286444865827731,0.9760479041916168
streaminfer,bidir-all-links,16387.0,183.0,429.0,0.05838073895305407,1.095808383233533
sglang,none,13207.3375,168.07769230769233,197.23999999999998,,
sglang,single-link,12480.6,188.8662962962963,227.95407407407407,0.05502528424067298,1.123684491994019
sglang,single-link-2x,7520.525,476.4038095238095,578.8661904761905,0.4305797818826088,2.8344261691294426
sglang,all-links,11270.15,228.2248275862069,280.94206896551725,0.146675096324297,1.3578531716654338
sglang,bidir-all-links,10417.7125,261.225,333.5046875,0.21121781736856501,1.554191971661457
