ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1785563734,505239327514644,265596350689588,10622206,10648214,104105481
1785563736,505261119953940,265596440250388,10622206,10648214,104105481
1785563738,505281361633972,265596523471164,10622206,10648214,104105481
1785563740,505302477613104,265596610262800,10622206,10648214,104105481
1785563742,505322889411192,265596694163104,10622206,10648214,104105481
1785563744,505342869593464,265596776269788,10622206,10648214,104105481
1785563746,505364378153956,265596864677096,10622206,10648214,104105481
1785563748,505384813395292,265596948721964,10622206,10648214,104105481
1785563750,505406948689568,265597039702076,10622206,10648214,104105481
1785563752,505427286214140,265597123303436,10622206,10648214,104105481
1785563754,505448203633284,265597209238292,10622206,10648214,104105481
1785563756,505468867185884,265597294197220,10622206,10648214,104105481
1785563758,505490498933184,265597383136356,10622206,10648214,104105481
1785563760,505510920789912,265597467052140,10622206,10648214,104105481
1785563762,505531561801204,265597551858884,10622206,10648214,104105481
1785563764,505552790749764,265597639124720,10622206,10648214,104105481
1785563766,505574311675548,265598373729048,10622206,10648214,104105481
1785563768,505596764807428,265599367107076,10622206,10648214,104105481
1785563770,505623716597388,265606741089284,10622206,10648214,104105481
1785563772,505656589345280,265617330465504,10622206,10648214,104105481
1785563774,505689327596560,265628778162216,10622206,10648214,104105481
1785563776,505722044178408,265640991851680,10622206,10648214,104105481
1785563778,505753712016788,265652213568200,10622206,10648214,104105481
1785563780,505785101036856,265663162183844,10622206,10648214,104105481
1785563782,505816251627692,265674444547992,10622206,10648214,104105481
1785563784,505850748783008,265686263001320,10622206,10648214,104105481
1785563786,505883939481924,265698141944892,10622206,10648214,104105481
1785563788,505916614013024,265710491844760,10622206,10648214,104105481
1785563790,505949554739744,265723215489888,10622206,10648214,104105481
1785563792,505982377193632,265736425792280,10622206,10648214,104105481
1785563794,506018027459168,265749767494128,10622206,10648214,104105481
1785563796,506052013866216,265763127940648,10622206,10648214,104105481
1785563798,506086506534064,265776803835756,10622206,10648214,104105481
1785563800,506120602541072,265790777594812,10622206,10648214,104105481
1785563802,506156479408412,265804793996764,10622206,10648214,104105481
1785563804,506192221133372,265819087010116,10622206,10648214,104105481
1785563806,506229674847812,265833219278920,10622206,10648214,104105481
1785563808,506265253037196,265847277694328,10622206,10648214,104105481
1785563811,506300458085572,265861482653996,10622206,10648214,104105481
1785563813,506336733129524,265875975434808,10622206,10648214,104105481
1785563815,506372272627972,265890845768072,10622206,10648214,104105481
1785563817,506409755325772,265905718953836,10622206,10648214,104105481
1785563819,506445535078996,265920686253848,10622206,10648214,104105481
1785563821,506482427096764,265935704776204,10622206,10648214,104105481
1785563823,506518510984816,265950958977628,10622206,10648214,104105481
1785563825,506554421472584,265966349493600,10622206,10648214,104105481
1785563827,506590691748944,265981956522904,10622206,10648214,104105481
1785563829,506627397613936,265997475086824,10622206,10648214,104105481
1785563831,506663675415304,266012878338108,10622206,10648214,104105481
1785563833,506699375059100,266028430367808,10622206,10648214,104105481
1785563835,506735638266836,266043990547168,10622206,10648214,104105481
1785563837,506771858848684,266059685393780,10622206,10648214,104105481
1785563839,506808641112356,266075612568456,10622206,10648214,104105481
1785563841,506845344066760,266091345912256,10622206,10648239,104105481
1785563843,506883214072284,266106967058136,10622206,10648239,104105481
1785563845,506919548272480,266122539508564,10622206,10648239,104105481
1785563847,506956588506804,266138133357652,10622206,10648239,104105481
1785563849,506993230898280,266153740398368,10622206,10648239,104105481
1785563851,507030543643128,266169540007912,10622206,10648239,104105481
1785563853,507067804760916,266185421682732,10622206,10648239,104105481
1785563855,507104305136084,266201406178144,10622206,10648239,104105481
1785563857,507140832059812,266217386687936,10622206,10648239,104105481
1785563859,507179355227896,266233125453308,10622206,10648239,104105481
1785563861,507218095318384,266248845421032,10622206,10648239,104105481
1785563863,507256581578060,266264293843680,10622206,10648239,104105481
1785563865,507295569486668,266279512785612,10622206,10648243,104105481
1785563867,507333578669252,266294323882588,10622206,10648256,104105481
1785563869,507372867180240,266309208694864,10622206,10648256,104105481
1785563871,507410531112528,266324001206840,10622206,10648256,104105481
1785563873,507447947572352,266339221419828,10622206,10648256,104105481
1785563875,507485250923060,266354351033740,10622206,10648256,104105481
1785563877,507522128468724,266369666860744,10622206,10648256,104105481
1785563879,507560215885956,266385265987212,10622206,10648256,104105481
1785563881,507599919675824,266400909396024,10622206,10648256,104105481
1785563883,507640648474144,266416224530220,10622206,10648256,104105481
1785563885,507677666293108,266431764384264,10622206,10648256,104105481
1785563887,507713202724200,266446399857952,10622206,10648256,104105481
1785563889,507749881406972,266461776661832,10622206,10648256,104105481
1785563891,507788132313292,266477970130808,10622206,10648256,104105481
1785563893,507825153697184,266494188584996,10622206,10648256,104105481
1785563895,507862595418044,266510470838844,10622206,10648256,104105481
1785563897,507899555112276,266526912586236,10622206,10648256,104105481
1785563899,507935581596680,266543602795440,10622206,10648256,104105481
1785563901,507972614821692,266560966807448,10622206,10648256,104105481
1785563903,508010743945904,266578108839688,10622206,10648256,104105481
1785563905,508049188862472,266595192162488,10622206,10648256,104105481
1785563907,508086498410964,266612268545264,10622206,10648256,104105481
1785563909,508124471501988,266628925519284,10622206,10648256,104105481
1785563911,508161506008472,266645492061228,10622206,10648256,104105481
1785563913,508199313167384,266662148113636,10622206,10648256,104105481
1785563915,508236065957788,266678910254452,10622206,10648256,104105481
1785563917,508273659424468,266695843548576,10622206,10648256,104105481
1785563919,508311747181032,266712285597120,10622206,10648264,104105481
1785563921,508350275269340,266728727722840,10622206,10648264,104105481
1785563923,508388194413444,266744804379760,10622206,10648264,104105481
