ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1785564151,510969818504480,267771389176000,10622213,10648274,104105481
1785564153,510988760920824,267792494028840,10622213,10648274,104105481
1785564155,511009892948896,267812108743060,10622213,10648274,104105481
1785564157,511030808320924,267833555330616,10622213,10648274,104105481
1785564159,511052992175772,267853933981268,10622213,10648274,104105481
1785564161,511073789980636,267876614280128,10622213,10648274,104105481
1785564163,511094423470304,267896995921480,10622213,10648274,104105481
1785564165,511115719471712,267917833074972,10622213,10648274,104105481
1785564167,511136958309572,267938585604380,10622213,10648274,104105481
1785564169,511158493856400,267960267665768,10622213,10648274,104105481
1785564171,511178174045460,267980853302428,10622213,10648274,104105481
1785564173,511199326387876,268001498197116,10622213,10648274,104105481
1785564175,511220411646896,268022866947560,10622213,10648274,104105481
1785564177,511242417072680,268043600440356,10622213,10648274,104105481
1785564179,511262042698592,268065765422252,10622213,10648274,104105481
1785564181,511283807449908,268085247614132,10622213,10648274,104105481
1785564183,511305950086128,268108000419952,10622213,10648274,104105481
1785564185,511328180400336,268130000035216,10622213,10648274,104105481
1785564187,511355499815720,268158043581116,10627009,10648274,104156172
1785564190,511385710276200,268188099329248,10633476,10648278,104233280
1785564192,511416396857248,268219539639108,10638919,10648289,104284460
1785564194,511449491599160,268250989931816,10644610,10648302,104351809
1785564196,511482583232848,268283691305504,10648399,10648307,104379268
1785564198,511512331278188,268315685166364,10652793,10648314,104405760
1785564200,511543542692560,268345906846796,10657526,10648314,104444585
1785564202,511574115446136,268377185851056,10660977,10648434,104469645
1785564204,511606047614696,268407717733636,10665268,10648437,104503303
1785564206,511639116287268,268441356883748,10670361,10648446,104533816
1785564208,511671452934528,268473380519004,10674925,10648670,104564840
1785564210,511703306738132,268506057806772,10680232,10648675,104602770
1785564212,511737147764656,268538916768452,10685763,10648717,104653307
1785564214,511771007584760,268572412749700,10691460,10648722,104694386
1785564216,511805505221696,268606520644680,10697028,10650486,104724115
1785564218,511840998786996,268642496692612,10703089,10650638,104754732
1785564220,511874759723476,268677613014040,10708092,10650653,104782031
1785564222,511909460860300,268711276956692,10712657,10650952,104811894
1785564224,511944098636116,268746166876112,10716963,10650976,104838368
1785564226,511978567945088,268779907364492,10721678,10650992,104866984
1785564228,512013304036520,268815679929760,10727397,10651047,104900061
1785564230,512048350249572,268850275246316,10731505,10651087,104933204
1785564232,512083264169668,268885410944968,10736905,10651106,104966898
1785564234,512117288109388,268919814266152,10742053,10652639,104999577
1785564236,512151787831344,268954523049924,10746677,10652781,105030612
1785564238,512186929560868,268989144617028,10751412,10652798,105063608
1785564240,512222622859012,269024293014360,10756264,10652827,105094468
1785564242,512256810726156,269059758925732,10761161,10652870,105122778
1785564244,512290627229160,269094008636460,10766551,10652889,105159174
1785564246,512325926696512,269129039138884,10771599,10652949,105192782
1785564248,512361523124776,269163585646824,10776102,10652977,105227941
1785564250,512396630752716,269199079681836,10781887,10653093,105260637
1785564252,512433069807288,269234214970652,10786490,10653137,105291187
1785564254,512468426274304,269271323347060,10793240,10653225,105330298
1785564256,512504388228188,269306795618288,10798003,10653272,105356070
1785564258,512540171082660,269342313486604,10802729,10653357,105383440
1785564260,512575438310976,269377815086232,10807981,10653449,105420175
1785564262,512612157858448,269413622470088,10813479,10653528,105452794
1785564264,512647364333084,269449777684424,10818646,10653819,105485995
1785564266,512682130220396,269485203101428,10823316,10653837,105518696
1785564268,512718286871844,269520146462152,10829216,10653886,105565284
1785564270,512756045653704,269556830731272,10835346,10654294,105605353
1785564272,512793976851944,269594693621808,10842560,10654676,105643070
1785564274,512831577962520,269632240798372,10848170,10654718,105673358
1785564276,512869792597276,269669856905752,10855105,10655531,105708285
1785564278,512907596127128,269707623349468,10862443,10655591,105745250
1785564280,512946184033476,269745652994132,10869807,10655888,105783578
1785564282,512981777075836,269782763181328,10876924,10655976,105825675
1785564284,513018651868040,269819458588040,10882740,10656147,105861370
1785564286,513053865354876,269855698162516,10889394,10656370,105902691
1785564288,513090099820012,269891412048208,10895266,10656424,105945251
1785564290,513127522471724,269927532241264,10901804,10656635,105987315
1785564292,513166219624356,269965141903232,10909106,10656861,106029308
1785564294,513202355794336,270003972720780,10917945,10656887,106068917
1785564296,513237123525680,270039154027100,10922998,10656919,106100411
1785564298,513272637991788,270073725747424,10928574,10657002,106143132
1785564300,513308656361240,270109875950844,10934403,10657076,106179839
1785564302,513345095623712,270146132417724,10940565,10657111,106217082
1785564304,513379239742576,270181254621468,10946586,10657153,106262619
1785564306,513415187941816,270216801036512,10952107,10657188,106297529
1785564308,513449849342892,270252979975456,10958205,10657205,106334483
1785564310,513484484641772,270286815789148,10961445,10657231,106359862
1785564312,513519910900812,270322556367212,10966492,10657272,106409845
1785564314,513555931370820,270358275756004,10973067,10657300,106463389
1785564316,513592396502720,270394598852228,10979529,10657417,106507560
1785564318,513629119047932,270430375384404,10985280,10657522,106545028
1785564320,513665169594336,270467380607712,10992018,10657764,106583812
