ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1785563170,494169242585852,263549962364288,10622203,10618346,104105481
1785563172,494187958806164,263550039466796,10622203,10618362,104105481
1785563174,494232111099004,263550220983004,10622203,10618362,104105481
1785563176,494275639252776,263550399952192,10622203,10618362,104105481
1785563178,494314762687008,263550560795884,10622203,10618362,104105481
1785563180,494355277625788,263550727393720,10622203,10618362,104105481
1785563182,494392616372332,263550880783456,10622203,10618362,104105481
1785563184,494431116711412,263551039089864,10622203,10618362,104105481
1785563186,494467584366484,263551188968288,10622203,10618362,104105481
1785563188,494506192133448,263551347750344,10622203,10618362,104105481
1785563190,494545111549712,263551507662136,10622203,10618362,104105481
1785563192,494586436432252,263551677591792,10622203,10618362,104105481
1785563194,494624022705428,263551832109880,10622203,10618362,104105481
1785563196,494662592186880,263551990680240,10622203,10618362,104105481
1785563198,494701017660288,263552148546468,10622203,10618362,104105481
1785563200,494740554868064,263552311119580,10622203,10618362,104105481
1785563202,494780599798580,263553121961536,10622203,10618362,104105481
1785563204,494818025736160,263554322162184,10622203,10618362,104105481
1785563206,494863275102972,263560483963672,10622203,10618362,104105481
1785563208,494909045029244,263568631438456,10622203,10618829,104105481
1785563210,494956371050832,263576762574504,10622203,10618829,104105481
1785563212,495001634489248,263586272396464,10622203,10618829,104105481
1785563214,495048704533136,263594226629604,10622203,10618829,104105481
1785563216,495095860512284,263602245068352,10622203,10618829,104105481
1785563218,495141901844456,263610759401544,10622203,10620490,104105481
1785563220,495187816537856,263619809662212,10622203,10620852,104105481
1785563222,495233526854092,263628706028496,10622203,10622340,104105481
1785563224,495279406529196,263637909663096,10622203,10623239,104105481
1785563226,495327578817704,263646557780056,10622203,10623244,104105481
1785563228,495375517996620,263655327273096,10622203,10623433,104105481
1785563230,495421476769264,263665638307376,10622203,10623433,104105481
1785563232,495468755855472,263675224865428,10622203,10623433,104105481
1785563234,495515432141796,263685408268544,10622203,10623433,104105481
1785563236,495563259525332,263694841929772,10622203,10623757,104105481
1785563238,495610680597292,263704542518620,10622203,10624087,104105481
1785563240,495658719064796,263713987514792,10622203,10624087,104105481
1785563242,495705690128480,263724390400224,10622203,10624095,104105481
1785563244,495753572319968,263734072935760,10622203,10624095,104105481
1785563246,495801585413932,263743747861544,10622203,10624095,104105481
1785563248,495849971731508,263753083238432,10622203,10624256,104105481
1785563250,495898650831632,263762264820464,10622203,10624301,104105481
1785563252,495945210688552,263771968612076,10622203,10625953,104105481
1785563254,495993483299576,263781598277848,10622203,10626020,104105481
1785563256,496041628055400,263791367921956,10622203,10626116,104105481
1785563258,496089923406024,263800860499256,10622203,10626201,104105481
1785563260,496138086340584,263810740989752,10622204,10626201,104105481
1785563262,496186291944840,263820480110884,10622204,10626271,104105481
1785563264,496234326445076,263830396865224,10622204,10626271,104105481
1785563266,496282427572416,263840176822456,10622204,10626514,104105481
1785563268,496330092168356,263850639744852,10622204,10626514,104105481
1785563270,496377730201396,263861049137512,10622204,10626818,104105481
1785563272,496426160982184,263870653268880,10622204,10627197,104105481
1785563274,496473682100000,263881425099944,10622204,10627328,104105481
1785563276,496521210556096,263892082013156,10622204,10627328,104105481
1785563278,496568796780872,263902852494080,10622204,10627328,104105481
1785563280,496616775735424,263912832920868,10622204,10627666,104105481
1785563282,496664805981480,263923128806804,10622204,10627811,104105481
1785563284,496713131629652,263933085977628,10622204,10627811,104105481
1785563286,496761229552316,263943207255348,10622204,10627811,104105481
1785563288,496809496310840,263953251356864,10622204,10628385,104105481
1785563290,496856864142940,263962621425000,10622204,10628597,104105481
1785563292,496904898118444,263972905710388,10622204,10628639,104105481
1785563294,496953710404964,263982126403428,10622204,10628823,104105481
1785563296,497001504662172,263992769883536,10622204,10629004,104105481
1785563298,497049138727812,264003577287920,10622204,10629009,104105481
1785563300,497097741725564,264013153000376,10622204,10629022,104105481
1785563302,497146535176056,264022409349172,10622204,10629022,104105481
1785563304,497195457292772,264031636496884,10622204,10629595,104105481
1785563306,497244175330788,264041117392356,10622204,10629601,104105481
1785563308,497293046634236,264050407501536,10622204,10629601,104105481
1785563310,497342082658384,264059444173552,10622204,10629601,104105481
1785563312,497390809294444,264068843970268,10622204,10629790,104105481
1785563314,497439492398804,264078354743040,10622204,10629790,104105481
1785563316,497488019682420,264087616743976,10622204,10630100,104105481
1785563318,497536079589856,264098058490308,10622204,10630100,104105481
1785563320,497584352920824,264107440650340,10622204,10630859,104105481
1785563322,497633351051004,264116485015992,10622204,10630864,104105481
1785563324,497682376253516,264125465932408,10622204,10630864,104105481
1785563326,497731069060020,264135086136688,10622204,10630864,104105481
1785563328,497778572278184,264145605287404,10622204,10631391,104105481
1785563331,497826906133368,264155581181524,10622204,10631478,104105481
1785563333,497875372785416,264165498032112,10622204,10631548,104105481
1785563335,497923833068460,264175510805252,10622204,10631548,104105481
1785563337,497971651678052,264186398458284,10622204,10631552,104105481
1785563339,498019920823696,264196640165056,10622204,10631564,104105481
1785563341,498067640980228,264207567578844,10622204,10631720,104105481
1785563343,498116012140332,264217700061508,10622204,10631728,104105481
1785563345,498163739825592,264228642310156,10622204,10632121,104105481
1785563347,498211912084336,264239134289608,10622204,10632318,104105481
1785563349,498259689850284,264249852111684,10622204,10632761,104105481
1785563351,498307837134272,264260074139028,10622204,10632782,104105481
1785563353,498355788166784,264270734056788,10622204,10632782,104105481
1785563355,498403740245764,264280400492144,10622204,10633625,104105481
1785563357,498451373830780,264291368552044,10622204,10633994,104105481
1785563359,498499428151248,264301916403348,10622204,10634067,104105481
1785563361,498547621946440,264311361041780,10622204,10634272,104105481
1785563363,498595937464640,264321492659028,10622205,10634272,104105481
1785563365,498644395118332,264331322844780,10622205,10634322,104105481
1785563367,498692409865088,264341638960272,10622205,10634400,104105481
1785563369,498741178773308,264351066277180,10622205,10634466,104105481
1785563371,498789285412956,264361441349400,10622205,10634466,104105481
1785563373,498837585563688,264371499697256,10622205,10634466,104105481
1785563375,498885476014136,264381898921528,10622205,10634908,104105481
1785563377,498933652025936,264392197808684,10622205,10635107,104105481
1785563379,498981719905764,264402522553080,10622205,10635703,104105481
1785563381,499029874586044,264412799033480,10622205,10635763,104105481
1785563383,499078385019832,264422619572632,10622205,10635763,104105481
1785563385,499126918224208,264432507461668,10622205,10636226,104105481
1785563387,499175329742484,264442391706556,10622205,10636226,104105481
1785563389,499222797072712,264453581635760,10622205,10636287,104105481
1785563391,499270755429868,264464335918928,10622205,10636308,104105481
1785563393,499319168238144,264474288162952,10622205,10636308,104105481
1785563395,499367612294940,264484177636508,10622205,10636308,104105481
1785563397,499416193974128,264493778348752,10622205,10636308,104105481
1785563399,499465299640152,264502651288612,10622205,10636308,104105481
1785563401,499513960942360,264512150756888,10622205,10636308,104105481
1785563403,499562379751524,264522091697656,10622205,10636587,104105481
1785563405,499610320885516,264532649492344,10622205,10636589,104105481
1785563407,499658168421080,264543307580256,10622205,10636589,104105481
1785563409,499706726998088,264552949636224,10622205,10636859,104105481
1785563411,499754849208280,264563227854764,10622205,10636859,104105481
1785563413,499803244696084,264573100464996,10622206,10636859,104105481
1785563415,499851077560644,264583701173708,10622206,10637131,104105481
1785563417,499899154999456,264593931958656,10622206,10637143,104105481
1785563419,499946958570044,264604534665616,10622206,10637143,104105481
1785563421,499994315645344,264615754458948,10622206,10637512,104105481
1785563423,500042521964496,264625859801448,10622206,10637652,104105481
1785563425,500091339635948,264635170637048,10622206,10637656,104105481
1785563427,500140150011724,264644392555296,10622206,10637656,104105481
1785563429,500187451676732,264653958419568,10622206,10638521,104105481
1785563431,500235662189760,264663884764264,10622206,10638532,104105481
1785563433,500283946982020,264673869811836,10622206,10638532,104105481
1785563435,500332411851784,264683589896348,10622206,10638650,104105481
1785563437,500379970958576,264694597206108,10622206,10638650,104105481
1785563439,500428052841876,264704870689348,10622206,10638650,104105481
1785563441,500475719736364,264715544268300,10622206,10638846,104105481
1785563443,500523411047816,264726284793916,10622206,10638870,104105481
1785563445,500571668617404,264736221964556,10622206,10639293,104105481
1785563447,500619878459780,264746254230216,10622206,10639293,104105481
1785563449,500668511043540,264755739805896,10622206,10639338,104105481
1785563451,500717291562908,264764926319936,10622206,10639658,104105481
