ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1785562784,488815825498840,261476810326296,10622201,10618329,104105481
1785562786,488826172614224,261476852904788,10622201,10618346,104105481
1785562788,488850649968236,261476953546480,10622201,10618346,104105481
1785562790,488874777669672,261477052689388,10622201,10618346,104105481
1785562792,488895992088472,261477139913924,10622201,10618346,104105481
1785562794,488917844418616,261477229744216,10622201,10618346,104105481
1785562796,488937901719864,261477312161800,10622201,10618346,104105481
1785562798,488958739263236,261477397817076,10622201,10618346,104105481
1785562800,488978208914528,261477477820952,10622201,10618346,104105481
1785562802,488999125066584,261477563847320,10622201,10618346,104105481
1785562804,489020058281748,261477649847984,10622201,10618346,104105481
1785562806,489042557703956,261477742359656,10622201,10618346,104105481
1785562808,489062656126188,261477824951640,10622201,10618346,104105481
1785562810,489083460516624,261477910516104,10622201,10618346,104105481
1785562812,489104244177712,261477995877248,10622201,10618346,104105481
1785562814,489125847593976,261478084697616,10622201,10618346,104105481
1785562816,489147778954460,261478820970596,10622201,10618346,104105481
1785562818,489168316212612,261479891024104,10622201,10618346,104105481
1785562820,489197142084464,261487505795860,10622201,10618346,104105481
1785562822,489229299652756,261498776470460,10622201,10618346,104105481
1785562824,489263322983988,261511125204636,10622201,10618346,104105481
1785562826,489296148900352,261524478747400,10622201,10618346,104105481
1785562828,489329781567052,261536276545696,10622201,10618346,104105481
1785562830,489362995420828,261547991971884,10622201,10618346,104105481
1785562832,489396234811236,261560242262676,10622201,10618346,104105481
1785562834,489429241434260,261573037446592,10622201,10618346,104105481
1785562836,489462844783568,261586169649996,10622201,10618346,104105481
1785562838,489496420363436,261599970435240,10622201,10618346,104105481
1785562840,489532310136552,261613795605560,10622201,10618346,104105481
1785562842,489568564996660,261627943674868,10622201,10618346,104105481
1785562844,489602642171076,261642541775412,10622201,10618346,104105481
1785562846,489637981194232,261657185847228,10622201,10618346,104105481
1785562848,489673072607588,261672330343188,10622201,10618346,104105481
1785562850,489709299587512,261687445381052,10622201,10618346,104105481
1785562852,489745911365172,261702652038840,10622201,10618346,104105481
1785562854,489782855426324,261718350051368,10622201,10618346,104105481
1785562856,489818923131268,261734419067072,10622201,10618346,104105481
1785562858,489856220100840,261750546148276,10622201,10618346,104105481
1785562860,489894001536500,261766377752392,10622201,10618346,104105481
1785562862,489932552736180,261782230708124,10622201,10618346,104105481
1785562864,489971266694908,261798508645344,10622201,10618346,104105481
1785562866,490008502462620,261815279757468,10622201,10618346,104105481
1785562868,490046748525028,261831814044460,10622201,10618346,104105481
1785562870,490084733419940,261848687529860,10622201,10618346,104105481
1785562872,490123343532256,261865299393108,10622201,10618346,104105481
1785562874,490161526164296,261882236726696,10622201,10618346,104105481
1785562876,490199848728156,261899263991852,10622201,10618346,104105481
1785562878,490238005654936,261916188221656,10622201,10618346,104105481
1785562880,490275960647336,261933325033660,10622201,10618346,104105481
1785562882,490313515185820,261950443194856,10622201,10618346,104105481
1785562884,490351341964720,261967475341996,10622201,10618346,104105481
1785562886,490390175853732,261984415465404,10622201,10618346,104105481
1785562888,490427670134376,262001798307912,10622201,10618346,104105481
1785562890,490465194924896,262019201398828,10622201,10618346,104105481
