ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1785567667,529175637631268,278961685660464,12108593,12306145,118930784
1785567669,529197411597080,278961775200748,12108593,12306145,118930784
1785567671,529217838259204,278961859082556,12108593,12306145,118930784
1785567673,529238804897716,278961945274772,12108593,12306145,118930784
1785567675,529259283871664,278962029451352,12108593,12306145,118930784
1785567677,529279322396124,278962111830796,12108593,12306145,118930784
1785567679,529300820937528,278962200201380,12108593,12306145,118930784
1785567681,529321036460388,278962283341608,12108593,12306145,118930784
1785567683,529343341213676,278962374975524,12108593,12306145,118930784
1785567685,529363693057624,278962458622020,12108593,12306145,118930784
1785567687,529384627873980,278962544655656,12108593,12306145,118930784
1785567689,529405342384720,278962629811004,12108593,12306145,118930784
1785567691,529426796540572,278962718016768,12108593,12306145,118930784
1785567693,529447153863444,278962801663760,12108593,12306145,118930784
1785567695,529467985596012,278962888355792,12108593,12306145,118930784
1785567697,529489619428804,278963341974560,12108593,12306145,118930784
1785567699,529511266796232,278964343469608,12108593,12306145,118930784
1785567701,529534381468972,278965801653504,12108593,12306145,118930784
1785567703,529555765488420,278967669581356,12108593,12306145,118930784
1785567705,529580214047432,278969835062296,12108593,12306146,118930784
1785567707,529603870030192,278972245195964,12108593,12306147,118930784
1785567709,529626992104780,278974906162480,12108593,12306152,118930784
1785567711,529650399042808,278977835715284,12108593,12306159,118930784
1785567713,529674174405852,278981135209520,12108593,12306179,118930784
1785567715,529697749424456,278984815796776,12108593,12306236,118930784
1785567717,529724398725360,278988759172360,12108593,12306321,118930784
1785567719,529749988248092,278992988898196,12108593,12306473,118930784
1785567721,529774744493260,278997434013672,12108593,12306733,118930784
1785567723,529799565308100,279002075335676,12108594,12306893,118930786
1785567725,529823898267044,279006801904588,12108594,12307217,118930786
1785567727,529851213450212,279011739469932,12108596,12307913,118930788
1785567729,529876931659496,279016850687936,12108601,12308543,118930830
1785567731,529903048320504,279022126218992,12108603,12309018,118930832
1785567733,529928689064104,279027592894476,12108618,12309781,118930904
1785567735,529956002442108,279033097281248,12108620,12310984,118930909
1785567737,529983099793028,279038768903948,12108630,12311878,118930945
1785567739,530012324896672,279044603276756,12108673,12314172,118931290
1785567741,530039773934244,279050510060724,12108679,12315225,118931302
1785567743,530066773111240,279056479043168,12108695,12316713,118931388
1785567745,530094717536820,279062628024424,12108725,12318998,118931569
1785567747,530121641747180,279068894263572,12108758,12320666,118931760
1785567749,530150702480648,279075346360756,12108807,12323697,118932048
1785567751,530178140230600,279081918663588,12108852,12325925,118932284
1785567753,530206683745404,279088590133472,12108894,12328699,118932574
1785567755,530234202706564,279095268991304,12108943,12331258,118932847
1785567757,530261502963252,279102020377444,12109001,12333682,118933165
1785567759,530289014444852,279108814747504,12109080,12336127,118933655
1785567761,530317108552044,279115724488976,12109133,12339321,118934014
1785567763,530345034720344,279122762237812,12109220,12342092,118934757
1785567765,530372250616016,279129787776612,12109321,12345008,118937001
1785567767,530399996084796,279136841193612,12109395,12348319,118937580
1785567769,530427595150008,279143886525620,12109467,12351557,118937962
1785567771,530455498709148,279150957904920,12109596,12354748,118938957
1785567773,530483808532596,279158197999868,12109661,12358469,118939366
1785567775,530513425876500,279165506075656,12109724,12362480,118939741
1785567777,530541554787976,279172875101808,12109822,12366018,118940402
1785567780,530570437611472,279180340404220,12109962,12370517,118941346
1785567782,530599062896676,279187867414032,12110074,12374800,118942277
1785567784,530628197380140,279195466745584,12110231,12379192,118943461
1785567786,530657095930856,279203004834044,12110387,12383549,118944921
1785567788,530685083847096,279210550344528,12110487,12387515,118945534
1785567790,530713356724928,279218165335516,12110697,12391588,118947418
1785567792,530743884178128,279225856608940,12110905,12396949,118948828
1785567794,530774696684244,279233628245872,12111167,12402304,118950885
1785567796,530805551803936,279241441783856,12111401,12407756,118953104
1785567798,530837181096136,279249288381872,12111634,12413930,118955965
1785567800,530868155376152,279257109123368,12111805,12419692,118957702
1785567802,530900286224856,279264968399080,12111982,12426474,118959011
1785567804,530931064204484,279272835035480,12112270,12432526,118962863
1785567806,530960587503264,279280365682836,12112439,12437676,118964093
1785567808,530990802789092,279288214450960,12112646,12443681,118966064
1785567810,531020245456584,279296082062396,12112774,12449586,118966839
1785567812,531050833758320,279304036014072,12113072,12455757,118968965
1785567814,531082644591868,279311977223380,12113264,12462202,118970421
1785567816,531115401441792,279320011432748,12113467,12469577,118971899
1785567818,531144740299172,279327862744844,12113720,12474553,118975177
1785567820,531173283926652,279335538182440,12113877,12479561,118976470
1785567822,531202337440596,279343076067256,12114046,12484104,118978151
1785567824,531231569660092,279350390963940,12114167,12487999,118978963
1785567826,531259282349332,279357457727496,12114252,12491369,118979960
1785567828,531287419853736,279364313611704,12114347,12494690,118981058
1785567830,531314569636380,279370914310840,12114391,12496748,118981281
1785567832,531340441465516,279377363114316,12114415,12498123,118981349
1785567834,531366251427592,279383788624216,12114464,12499367,118981684
1785567836,531393547409004,279390013447628,12114515,12501100,118982385
1785567838,531421167272684,279395995692240,12114542,12503186,118982542
1785567840,531447146594760,279401788064804,12114551,12503893,118982571
1785567842,531474267900976,279407389921676,12114555,12505002,118982586
1785567844,531500034363316,279412755382784,12114560,12505675,118982604
1785567846,531526357244848,279417942366584,12114560,12506325,118982604
1785567848,531551186313232,279422937854232,12114565,12506715,118982615
1785567850,531577027003324,279427713630884,12114565,12506938,118982615
1785567852,531603116569824,279432179724016,12114565,12507463,118982615
1785567854,531629391980832,279436408425576,12114565,12507624,118982615
1785567856,531654961226108,279440396138104,12114565,12507748,118982615
1785567858,531681185664960,279444164665020,12114566,12507837,118982617
1785567860,531706935130552,279447738149972,12114566,12507869,118982617
1785567862,531731028115860,279451093276316,12114566,12507905,118982617
1785567864,531756174393768,279454257101232,12114566,12507930,118982617
1785567866,531779235987028,279457247732760,12114566,12507934,118982617
1785567868,531803798752256,279460108439172,12114566,12507941,118982617
1785567870,531827378534172,279462787968864,12114566,12507945,118982617
1785567872,531850802541688,279465285866780,12114566,12507945,118982617
1785567874,531874369131228,279467601331544,12114566,12507945,118982617
1785567876,531898002500160,279469764627216,12114566,12507945,118982617
1785567878,531920415774004,279471814118620,12114566,12507945,118982617
1785567880,531942622946448,279473711407144,12114566,12507945,118982617
1785567882,531965471825668,279475462221040,12114566,12507945,118982617
1785567884,531988586674204,279477079527036,12114566,12507945,118982617
1785567886,532011430774608,279478546684492,12114566,12507945,118982617
1785567888,532038529252920,279479941289856,12114566,12507945,118982617
1785567890,532067499703376,279481199266632,12114566,12507945,118982617
