ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1785567954,532559239861160,279603630738716,12114570,12507945,118982617
1785567956,532579169900476,279624727028012,12114570,12507945,118982617
1785567958,532599697713884,279643964876980,12114570,12507945,118982617
1785567960,532621194789680,279665049013816,12114570,12507945,118982617
1785567962,532642187331056,279686024759192,12114570,12507945,118982617
1785567964,532664244504128,279707641405304,12114570,12507945,118982617
1785567966,532684330576740,279729571537212,12114570,12507945,118982617
1785567968,532705945301532,279749438125396,12114570,12507945,118982617
1785567970,532726217342928,279771326456080,12114570,12507945,118982617
1785567972,532748244333100,279792156341480,12114570,12507945,118982617
1785567974,532768402955308,279813705794848,12114570,12507945,118982617
1785567976,532789127978476,279833662540496,12114570,12507945,118982617
1785567978,532810528627644,279854489722308,12114570,12507945,118982617
1785567980,532831366620060,279875444804240,12114570,12507945,118982617
1785567982,532852567089516,279897151793396,12114570,12507945,118982617
1785567984,532873588092464,279917838118812,12114570,12507945,118982617
1785567986,532896961001368,279940272381056,12114570,12507945,118982617
1785567988,532919598627092,279963816628512,12114570,12507945,118982617
1785567990,532942054284248,279986637529480,12114570,12507945,118982617
1785567992,532964429129748,280009686598512,12114570,12507947,118982617
1785567994,532987403566688,280032579252672,12114573,12507952,118982624
1785567996,533010645737952,280055073059760,12114952,12508020,118987941
1785567998,533036809512664,280079508938136,12114975,12508047,118988034
1785568000,533060471739120,280105405785720,12115105,12508078,118988624
1785568002,533084997559752,280128863774364,12115148,12508137,118988798
1785568004,533109029212464,280153883276892,12115341,12508222,118989710
1785568006,533133390315848,280177976191096,12115472,12508365,118990605
1785568008,533160042227408,280202990653676,12115714,12508864,118992602
1785568010,533184701155128,280229045766784,12116214,12509151,118995986
1785568012,533210004519640,280254876522640,12116481,12509484,118997580
1785568015,533235217444400,280279776009724,12116803,12509793,118999513
1785568017,533262253411104,280305869428568,12117708,12510578,119008704
1785568019,533288674297028,280332782793656,12118429,12511250,119016261
1785568021,533317108067244,280359598125708,12119749,12513098,119030099
1785568023,533343810186288,280388215492040,12121731,12513952,119046779
1785568025,533370558235300,280414258966272,12122831,12514861,119055780
1785568027,533397837746404,280441696306004,12125316,12517056,119086774
1785568029,533424968501808,280469109874552,12126899,12518489,119103345
1785568031,533453783065524,280496658884896,12129117,12520906,119126473
1785568033,533480767791304,280524910668992,12132124,12522889,119169198
1785568035,533508821625320,280552272661612,12134527,12525078,119198713
1785568037,533536016161280,280580492309840,12137661,12527684,119236796
1785568039,533563460567904,280607662415372,12140453,12530464,119270816
1785568041,533589230737696,280634040261068,12141814,12531145,119284704
1785568043,533617044067380,280661287777608,12144897,12534231,119328628
1785568045,533644717953556,280689212024788,12149486,12537095,119397686
1785568047,533671702150420,280716484785348,12153119,12540038,119452650
1785568049,533698837346316,280743377816972,12156650,12542696,119509384
1785568051,533726981191556,280771224496452,12161046,12546361,119565895
1785568053,533754781752688,280798826056972,12164663,12549330,119609109
1785568055,533782706213428,280827446028576,12169542,12553107,119669130
1785568057,533812461539072,280855619155212,12174455,12557093,119730184
1785568059,533840076151676,280884379294008,12178517,12560426,119783315
1785568061,533868023410156,280912405170252,12183003,12564059,119850708
1785568063,533896527263436,280940671163832,12187630,12568195,119913437
1785568065,533924993863936,280968537103076,12191472,12572137,119962762
1785568067,533952825707716,280997539438092,12196609,12576131,120030986
1785568069,533981004662672,281025556657880,12201737,12580902,120101590
1785568071,534009225629704,281053365088996,12205805,12586060,120156134
1785568073,534040088176872,281082458525576,12212821,12591934,120264096
1785568075,534070364194436,281112885540804,12219453,12597415,120356255
1785568077,534100153876768,281143283533520,12225707,12602489,120444086
1785568079,534131577077212,281173075018588,12232539,12608187,120555164
1785568081,534161628722292,281204087649828,12239980,12612960,120657093
1785568083,534191819630452,281233351784316,12243290,12616282,120692937
1785568085,534221437314700,281265420275032,12251420,12621553,120816591
1785568087,534250298136880,281293728614692,12256469,12626475,120882074
1785568089,534279167480240,281322910486736,12261758,12631256,120960595
1785568091,534306929768348,281350832951868,12265481,12633880,121020852
1785568093,534336707711500,281379506590572,12268711,12637679,121070451
1785568095,534367306017952,281409620758096,12273506,12641573,121128047
1785568097,534399715189060,281441386380324,12282322,12648153,121262989
1785568099,534427456090512,281471096169740,12286304,12650996,121310959
1785568101,534455888747420,281499913027680,12293260,12657124,121422542
1785568103,534483670211432,281527865787220,12296427,12660065,121455718
1785568105,534512418321492,281555814821040,12299678,12663397,121496221
1785568107,534539974376916,281585046750576,12305445,12668418,121587203
1785568109,534567241709984,281611477500228,12308223,12671503,121622861
1785568111,534594741313100,281639746221056,12312558,12674205,121680329
1785568113,534621173131548,281666083627208,12313998,12675806,121694960
1785568115,534647395954120,281692853425252,12317782,12678990,121754631
1785568117,534675472274708,281719622657168,12322129,12683532,121823692
1785568119,534703605953336,281747166220912,12325891,12688651,121873618
1785568121,534730324870528,281774910696272,12330210,12691789,121933754
1785568123,534758745948856,281802531545884,12334531,12695638,121989288
1785568125,534786511523640,281831254537972,12339388,12699766,122055690
1785568127,534814495309244,281858865192708,12343173,12703590,122110532
1785568129,534839997002440,281885173357324,12345066,12704908,122132156
1785568131,534867737465164,281911324241876,12347448,12708339,122152534
1785568133,534896350066896,281939875136076,12352248,12711391,122208009
1785568135,534924088827808,281967662331580,12355397,12713653,122246837
