ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1785567397,524432648935984,278417114369648,12091108,11675740,118768058
1785567399,524451345338012,278417191377312,12091108,11675756,118768058
1785567401,524495500952384,278417372955640,12091108,11675756,118768058
1785567403,524539055705176,278417552008428,12091108,11675756,118768058
1785567405,524578186996324,278417712917916,12091108,11675756,118768058
1785567407,524618716488712,278417879530720,12091108,11675756,118768058
1785567409,524656042535128,278418032972640,12091108,11675756,118768058
1785567411,524694556913836,278418191285676,12091108,11675756,118768058
1785567413,524731017705356,278418341190328,12091108,11675756,118768058
1785567415,524769658272948,278418500054536,12091108,11675756,118768058
1785567417,524808554219192,278418659878680,12091108,11675756,118768058
1785567419,524849927758932,278418830053132,12091108,11675756,118768058
1785567421,524887529247952,278418984572300,12091108,11675756,118768058
1785567423,524926109738932,278419143247428,12091108,11675756,118768058
1785567425,524964524901208,278419303602196,12091108,11675756,118768058
1785567427,525004765094560,278420039830280,12091108,11677531,118768058
1785567429,525045127768104,278421277056824,12091108,11685110,118768058
1785567431,525082965120100,278422814001184,12091108,11691687,118768058
1785567433,525124206163480,278424725691664,12091108,11697563,118768058
1785567435,525164685636456,278426976701416,12091108,11702624,118768058
1785567437,525207159688236,278429563078368,12091108,11709073,118768058
1785567439,525246161570608,278432432421912,12091108,11713990,118768058
1785567441,525288500544496,278435655198004,12091108,11719602,118768058
1785567443,525330853623904,278439206069480,12091108,11724953,118768058
1785567445,525372862327092,278442961400520,12091108,11731229,118768058
1785567447,525413017966192,278446961565412,12091110,11737307,118768065
1785567449,525453397163728,278451212821604,12091110,11743104,118768065
1785567451,525493449032268,278455720834952,12091110,11749170,118768065
1785567453,525534496489868,278460478098564,12091120,11756465,118768117
1785567455,525575290195028,278465449411496,12091123,11763484,118768124
1785567457,525614675239732,278470524152804,12091130,11769987,118768151
1785567459,525654433275324,278475730384408,12091144,11776527,118768237
1785567461,525693050077108,278480642075512,12091150,11782213,118768252
1785567463,525731454369048,278486121095312,12091155,11788506,118768269
1785567465,525768699333824,278491763417824,12091168,11794748,118768347
1785567467,525806181573588,278497606737480,12091187,11801656,118768441
1785567469,525843467484884,278503045867864,12091198,11807910,118768471
1785567471,525880676260108,278509270149972,12091218,11815021,118768559
1785567473,525917464816832,278515681115308,12091316,11821567,118769129
1785567475,525953751221012,278522214288664,12091366,11827569,118769479
1785567477,525989848051588,278528788639220,12091463,11833628,118770080
1785567479,526026143398324,278535455105896,12091563,11840222,118770704
1785567481,526061801236152,278542196813372,12091680,11846559,118771483
1785567483,526096882006484,278549023139052,12091848,11852479,118773456
1785567485,526132279930044,278555894192284,12091979,11859296,118774912
1785567487,526167658422840,278562850718292,12092177,11866163,118776481
1785567489,526202627285928,278569805406632,12092336,11872808,118777614
1785567491,526236906849180,278576756276020,12092560,11879071,118779971
1785567493,526271231574256,278583915740748,12092681,11885596,118780565
1785567495,526305223751420,278591068448916,12092858,11891324,118781596
1785567497,526339341736916,278598358082712,12093116,11897618,118783140
1785567499,526373542351704,278605723047084,12093447,11903803,118785794
1785567501,526408354548808,278613254686408,12093818,11910208,118788291
1785567504,526442435278900,278620784966280,12094180,11915866,118791198
1785567506,526476300849964,278628325433188,12094587,11921516,118795371
1785567508,526510193786560,278635842528992,12094889,11927504,118798151
1785567510,526543963438136,278643485473824,12095142,11933729,118800861
1785567512,526577267958160,278651180021168,12095693,11939757,118806161
1785567514,526610715352384,278658942137376,12096148,11945466,118810642
1785567516,526644320062636,278666731757980,12096590,11951544,118814385
1785567518,526677751948456,278674616543044,12097117,11957598,118819592
1785567520,526710304556544,278682548679112,12097592,11962983,118823542
1785567522,526743309849556,278690564514264,12098207,11969140,118828833
1785567524,526776100024080,278698560568456,12098762,11974903,118833007
1785567526,526808775620400,278706582272172,12099492,11980921,118841416
1785567528,526841219384208,278714711804716,12100177,11987373,118847676
1785567530,526873223231836,278722753910020,12100793,11993084,118854650
1785567532,526905434975924,278730848760868,12101433,11998900,118861899
1785567534,526937686720536,278738934139856,12102031,12005234,118867119
1785567536,526970484585676,278746996551752,12102613,12011483,118872515
1785567538,527003104007896,278755045696752,12103204,12017772,118878769
1785567540,527036200575408,278763013717252,12103744,12024444,118883119
1785567542,527068106516572,278771193285300,12104566,12030417,118891347
1785567544,527100617353884,278779390917708,12105256,12036563,118898780
1785567546,527133099698168,278787508004520,12105976,12042682,118907194
1785567548,527165959776800,278795423538608,12106471,12048772,118913939
1785567550,527199469202212,278803192856540,12106900,12054770,118917417
1785567552,527232956724096,278810714951496,12107311,12060881,118921269
1785567554,527267293388244,278818104069356,12107616,12067221,118923746
1785567556,527301784197752,278825289807980,12107812,12073395,118925408
1785567558,527336252543768,278832321943652,12108034,12079232,118927310
1785567560,527371709790636,278839220603100,12108186,12085473,118928414
1785567562,527407175862740,278845879446112,12108275,12091429,118928935
1785567564,527443418211824,278852414317128,12108380,12097839,118929629
1785567566,527479980914780,278858754479692,12108454,12104359,118930045
1785567568,527516981873260,278864898472928,12108523,12110735,118930351
1785567570,527554582277608,278870834638088,12108563,12117456,118930553
1785567572,527591774203816,278876578662168,12108586,12123631,118930764
1785567574,527629850437444,278882063760556,12108589,12130151,118930777
1785567576,527668291609488,278887355290424,12108590,12136023,118930778
1785567578,527707487375464,278892390883624,12108590,12142314,118930778
1785567580,527746665800952,278897229909976,12108590,12147514,118930778
1785567582,527787407506856,278901840325312,12108591,12154193,118930779
1785567584,527827308805784,278906259356432,12108592,12159658,118930783
1785567586,527868119835636,278910460059156,12108593,12165103,118930784
1785567588,527909863833616,278914462700220,12108593,12172259,118930784
1785567590,527952293245440,278918310085968,12108593,12179494,118930784
1785567592,527994604973632,278921928789844,12108593,12185836,118930784
1785567594,528036300596552,278925338659448,12108593,12192250,118930784
1785567596,528079565522252,278928539453492,12108593,12198525,118930784
1785567598,528121013451172,278931566755000,12108593,12204681,118930784
1785567600,528163036851240,278934419113640,12108593,12210830,118930784
1785567602,528203228909920,278937031731904,12108593,12215229,118930784
1785567604,528244707116452,278939404695440,12108593,12221107,118930784
1785567606,528285457548532,278941626451360,12108593,12226536,118930784
1785567608,528326283010576,278943706885336,12108593,12231908,118930784
1785567610,528367602970712,278945645958644,12108593,12236944,118930784
1785567612,528408816241764,278947435967068,12108593,12242170,118930784
1785567614,528449487706992,278949106246768,12108593,12247863,118930784
1785567616,528488012399748,278950629671124,12108593,12253077,118930784
1785567618,528527204662844,278952074730964,12108593,12260524,118930784
1785567620,528568464883840,278953420392228,12108593,12268380,118930784
1785567622,528608955062496,278954683043344,12108593,12272923,118930784
1785567624,528652795252736,278955858219292,12108593,12284950,118930784
1785567626,528700857993364,278956964561760,12108593,12295599,118930784
1785567628,528744709445484,278957957278624,12108593,12300746,118930784
1785567630,528784404599000,278958802966824,12108593,12301711,118930784
1785567632,528822803983268,278959522382816,12108593,12301830,118930784
1785567634,528860925321348,278960031898500,12108593,12305257,118930784
1785567636,528901897731724,278960392089556,12108593,12306145,118930784
1785567638,528941241627792,278960627690220,12108593,12306145,118930784
1785567640,528980915029092,278960846379416,12108593,12306145,118930784
1785567642,529019129413704,278961042367504,12108593,12306145,118930784
1785567644,529057348518376,278961199447960,12108593,12306145,118930784
1785567646,529095535129656,278961356450856,12108593,12306145,118930784
