ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1785567117,521083717263644,277885625441352,12078871,11468770,118663554
1785567119,521094077932044,277885668098032,12078871,11468940,118663554
1785567121,521118569130456,277885768749736,12078871,11468940,118663554
1785567123,521142704132056,277885867938000,12078871,11468940,118663554
1785567125,521163904220452,277885955110332,12078871,11468940,118663554
1785567127,521185762213392,277886044963668,12078871,11468940,118663554
1785567130,521205818240616,277886127378244,12078871,11468940,118663554
1785567132,521226660645680,277886213041008,12078871,11468940,118663554
1785567134,521246129673268,277886293052084,12078871,11468940,118663554
1785567136,521267040711112,277886379083756,12078871,11468940,118663554
1785567138,521287987424780,277886465121292,12078871,11468940,118663554
1785567140,521310486564432,277886557622948,12078871,11468940,118663554
1785567142,521330596911148,277886640285868,12078871,11468940,118663554
1785567144,521351420554204,277886725926608,12078871,11468940,118663554
1785567146,521372211265576,277886813198568,12078871,11468940,118663554
1785567148,521394433088304,277887483749236,12078871,11468940,118663554
1785567150,521416815088616,277888669150568,12078871,11468940,118663554
1785567152,521437821045556,277890151769288,12078871,11468940,118663554
1785567154,521460872161240,277891976579752,12078871,11468940,118663554
1785567156,521483904232696,277894110336176,12078871,11468952,118663554
1785567158,521508022579384,277896545357384,12078871,11468962,118663554
1785567160,521530235631456,277899249174388,12078871,11469063,118663554
1785567162,521555028243348,277902229215248,12078871,11469158,118663554
1785567164,521579658955076,277905463431524,12078871,11469328,118663554
1785567166,521604183907276,277908945016428,12078871,11470115,118663554
1785567168,521628052721164,277912608630652,12078871,11470396,118663554
1785567170,521652514952268,277916552198312,12078871,11471044,118663554
1785567172,521676554202656,277920782424504,12078871,11472134,118663554
1785567174,521703058801052,277925238494364,12078871,11473011,118663554
1785567176,521729781013924,277929872007768,12078871,11473985,118663554
1785567178,521754184868048,277934729942436,12078872,11475137,118663560
1785567180,521780017031036,277939853114852,12078875,11476306,118663566
1785567182,521805281515156,277945165219972,12078880,11477358,118663588
1785567184,521831979643672,277950625003264,12078895,11478903,118663674
1785567186,521858905894060,277956212545680,12078898,11480602,118663683
1785567188,521885860078340,277961954794140,12078917,11482230,118663853
1785567190,521911638799424,277967764969816,12078936,11483441,118664012
1785567192,521938813170364,277973746280740,12078962,11485133,118664097
1785567194,521967061438320,277979864854352,12079015,11487388,118664361
1785567196,521995970832872,277986007044520,12079079,11490395,118665085
1785567198,522024671194508,277992369918948,12079126,11492412,118665471
1785567200,522051707070824,277998862992988,12079161,11494598,118665626
1785567202,522080206632480,278005520202072,12079222,11497262,118665989
1785567204,522107896918112,278012171999016,12079296,11499544,118666385
1785567206,522136691077764,278018816306640,12079337,11502593,118666501
1785567208,522164524241412,278025465639884,12079409,11504868,118666970
1785567210,522192418254968,278032157109292,12079485,11507626,118667534
1785567212,522220561531004,278039055618632,12079578,11510518,118668320
1785567214,522248360303588,278045939625112,12079644,11513153,118668621
1785567216,522275827781020,278052882252892,12079743,11516112,118669334
1785567218,522303829273372,278059942049464,12079978,11519618,118670970
1785567220,522332891743764,278067095553868,12080156,11523642,118672088
1785567222,522360211040340,278074368544972,12080309,11526925,118674222
1785567224,522387767200920,278081722136672,12080478,11529927,118675503
1785567226,522415376213784,278089103380188,12080796,11533168,118678623
1785567228,522443823233488,278096505780264,12081174,11537174,118682085
1785567230,522472537087772,278104078751428,12081557,11541209,118684877
1785567232,522501826199444,278111646903060,12081945,11545207,118688448
1785567234,522530762701320,278119250759412,12082318,11549396,118691531
1785567236,522559794534304,278126852082072,12082700,11553269,118695257
1785567238,522588437341552,278134371032620,12083030,11557292,118697382
1785567240,522617038775376,278141986168308,12083376,11560840,118700137
1785567242,522646796176260,278149702625068,12083747,11565051,118703082
1785567244,522675432096052,278157481431628,12084207,11568861,118707090
1785567246,522703205297048,278165310625540,12084698,11572878,118711491
1785567248,522733152578336,278173142465888,12084984,11578026,118715457
1785567250,522763803466072,278180940024180,12085247,11583643,118717218
1785567252,522794625556012,278188848840016,12085611,11589483,118720670
1785567254,522825389310636,278196746079176,12085971,11594844,118724084
1785567256,522856303109680,278204741846060,12086367,11599960,118727353
1785567258,522887630379112,278212763125880,12086701,11605568,118730536
1785567260,522918455118684,278220857884412,12086983,11610715,118733158
1785567262,522949020974568,278228927307440,12087274,11615962,118735310
1785567264,522979308403240,278237032110540,12087806,11620650,118739852
1785567266,523008457314024,278245120417740,12088375,11625313,118745415
1785567268,523038225729860,278253114117440,12089088,11629756,118753463
1785567270,523069669887300,278260916796356,12089428,11634620,118756183
1785567272,523102291474008,278268504403100,12089695,11640136,118757872
1785567274,523132005225016,278275983610340,12090012,11644027,118760260
1785567276,523160019675316,278283259219548,12090340,11647064,118762790
1785567278,523188564562852,278290305147596,12090570,11650197,118764440
1785567280,523217542470940,278297246186240,12090762,11653946,118765738
1785567282,523245599203176,278304065553280,12090868,11656866,118766697
1785567284,523272650673884,278310478251788,12090950,11659592,118767188
1785567287,523299794020728,278316748758396,12091008,11661827,118767516
1785567289,523325213989176,278322824208932,12091059,11663102,118767850
1785567291,523351237168528,278328775969300,12091085,11664056,118767975
1785567293,523377516509116,278334496962316,12091100,11666040,118768036
1785567295,523403828843004,278339965275648,12091106,11667532,118768052
1785567297,523429833532964,278345264594628,12091107,11669208,118768057
