system,condition,tput,itl_mean,itl_p99,tput_drop_frac,itl_inflation
streaminfer,none,19643.0,123.0,143.0,,
streaminfer,single-link,19344.0,122.0,142.0,0.015221707478491065,0.991869918699187
streaminfer,single-link-2x,19024.0,121.0,146.0,0.03151249809092298,0.983739837398374
streaminfer,all-links,19345.0,123.0,166.0,0.015170798757827215,1.0
streaminfer,bidir-all-links,18751.0,133.0,261.0,0.04541057883215395,1.08130081300813
sglang,none,17815.0875,81.06,112.22105263157894,,
sglang,single-link,17052.2625,92.038,153.59,0.0428190431284719,1.1354305452751048
sglang,single-link-2x,12395.425,192.08846153846156,255.675,0.30421756278210826,2.3697071494998956
sglang,all-links,16443.1375,100.14,151.4425,0.07701056758772588,1.2353811991117691
sglang,bidir-all-links,15664.225,112.16047619047619,193.67619047619047,0.12073263743442186,1.3836722944791042
