ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1786142937,82025131768368,51521487185032,9643433,9594612,232825211
1786142939,82054417157860,51521607614412,9643433,9594612,232825211
1786142941,82082644238664,51521723600912,9643433,9594612,232825211
1786142943,82107994661448,51521827851212,9643433,9594612,232825211
1786142945,82133808305092,51521933910472,9643433,9594612,232825211
1786142947,82157680134660,51522032029064,9643433,9594612,232825211
1786142949,82182498256484,51522134042412,9643433,9594612,232825211
1786142951,82205664909708,51522229298036,9643433,9594612,232825211
1786142953,82230826797336,51522332694368,9643433,9594612,232825211
1786142955,82255297737440,51522433268040,9643433,9594612,232825211
1786142957,82282214032032,51522543908188,9643433,9594612,232825211
1786142959,82306387195516,51522643312464,9643433,9594612,232825211
1786142961,82331131964768,51522744992700,9643433,9594612,232825211
1786142963,82355686295228,51522845942484,9643433,9594612,232825211
1786142965,82381544113872,51522952166264,9643433,9594612,232825211
1786142967,82406515076532,51523054801008,9643433,9594612,232825211
1786142969,82430043469352,51523302466860,9643433,9594612,232825211
1786142971,82456939201800,51524639989988,9643433,9594612,232825211
1786142973,82485873300420,51528945179072,9643433,9594612,232825211
1786142975,82516919553584,51534065060128,9643433,9594612,232825211
1786142977,82544657168560,51538761152212,9643433,9594612,232825211
1786142979,82576041144616,51544302615624,9643433,9594612,232825211
1786142981,82607436736660,51550346628084,9643433,9594612,232825211
1786142983,82639088364972,51556910245348,9643433,9594612,232825211
1786142985,82669979035972,51564039167724,9643433,9594612,232825211
1786142987,82701887551436,51571520564688,9643433,9594612,232825211
1786142989,82733238664584,51579379399224,9643433,9594612,232825211
1786142991,82767314410260,51587356625684,9643433,9594612,232825211
1786142993,82801611073152,51595421388408,9643433,9594612,232825211
1786142995,82833045057780,51603846540456,9643433,9594612,232825211
1786142997,82866519632372,51612670767880,9643433,9594612,232825211
1786142999,82899107249564,51621766142944,9643433,9594612,232825211
1786143001,82933644160692,51630970742128,9643433,9594612,232825211
1786143003,82967863516656,51640216843116,9643433,9594612,232825211
1786143005,83002410913716,51649619370980,9643433,9594612,232825211
1786143007,83036035735308,51659364312400,9643433,9594612,232825211
1786143009,83070743569144,51669133453948,9643433,9594612,232825211
1786143011,83106789679564,51678751012308,9643433,9594612,232825211
1786143013,83142894248252,51688047413224,9643433,9594612,232825211
1786143015,83178797833504,51697508595788,9643433,9594612,232825211
1786143017,83212796590956,51707249251772,9643433,9594612,232825211
1786143019,83248454093012,51717027592568,9643433,9594612,232825211
1786143021,83283231199996,51726722539340,9643433,9594612,232825211
1786143023,83319042619312,51736434481880,9643433,9594612,232825211
1786143025,83353999844068,51746248859540,9643433,9594612,232825211
1786143027,83389265458612,51756349430752,9643433,9594612,232825211
1786143029,83424443655764,51766504794872,9643433,9594612,232825211
1786143031,83459350070504,51776596800432,9643433,9594612,232825211
1786143033,83494013117116,51786919995560,9643433,9594612,232825211
1786143035,83529157126108,51797303734104,9643433,9594612,232825211
1786143037,83565376917276,51807643114512,9643433,9594612,232825211
1786143039,83599742879920,51818220557768,9643433,9594612,232825211
1786143041,83634511297100,51829048662024,9643433,9594612,232825211
1786143043,83669385082844,51839909860548,9643433,9594612,232825211
1786143045,83705001178724,51850579295896,9643433,9594612,232825211
1786143047,83740552017384,51861002659264,9643433,9594612,232825211
1786143049,83776686243704,51871491990232,9643433,9594612,232825211
1786143051,83812498519260,51881931124312,9643433,9594612,232825211
1786143053,83848362191848,51892497865460,9643433,9594612,232825211
1786143055,83884062658680,51903248324452,9643434,9594612,232825211
1786143057,83919758328052,51914046721072,9643434,9594612,232825211
1786143059,83956468322208,51924432961144,9643434,9594612,232825211
1786143061,83991862483704,51935140379012,9643434,9594612,232825211
1786143063,84026672687436,51946381616992,9643434,9594612,232825211
1786143065,84063914246916,51957359392784,9643434,9594612,232825211
1786143067,84101824915100,51967884726672,9643434,9594612,232825211
1786143069,84139639929288,51978263922696,9643434,9594612,232825211
1786143071,84177644723408,51988674610620,9643434,9594612,232825211
1786143073,84215903143220,51999053537756,9643434,9594612,232825211
1786143075,84254581507280,52009370356680,9643434,9594612,232825211
1786143077,84293038870808,52019695344136,9643434,9594612,232825211
1786143079,84330145588008,52030354859820,9643434,9594612,232825211
1786143081,84367803287080,52041242577100,9643434,9594612,232825211
1786143083,84403864740788,52052306117584,9643434,9594612,232825211
1786143085,84440967788444,52063709834580,9643434,9594612,232825211
1786143087,84480415636700,52074566711308,9643434,9594612,232825211
1786143089,84520661622360,52084841632024,9643434,9594612,232825211
1786143091,84557507589996,52095231134388,9643434,9594612,232825211
1786143094,84593210089220,52106450540180,9643434,9594612,232825211
1786143096,84630177002776,52117889155004,9643434,9594612,232825211
1786143098,84667384928860,52129113954016,9643434,9594612,232825211
1786143100,84704197520792,52140495053960,9643434,9594612,232825211
1786143102,84739821730152,52151974368116,9643434,9594612,232825211
1786143104,84776134906496,52163676444900,9643434,9594612,232825211
1786143106,84811220583232,52175511983372,9643434,9594612,232825211
1786143108,84847360064168,52187684595928,9643434,9594612,232825211
1786143110,84883515084748,52199518415224,9643434,9594612,232825211
1786143112,84919522641780,52211082436652,9643434,9594612,232825211
1786143114,84955364417480,52222372446188,9643434,9594612,232825211
1786143116,84991744927616,52233342575692,9643434,9594612,232825211
1786143118,85026644238372,52244344590860,9643434,9594612,232825211
1786143120,85062613861608,52255157396140,9643434,9594612,232825211
1786143122,85096925892840,52265666351012,9643434,9594612,232825211
1786143124,85131656582396,52275947611832,9643434,9594612,232825211
1786143126,85167488816704,52285831354092,9643434,9594612,232825211
1786143128,85202850816716,52295144209516,9643434,9594612,232825211
1786143130,85238195291996,52304266859980,9643434,9594612,232825211
1786143132,85272667907484,52313176868748,9643434,9594612,232825211
1786143134,85307561875432,52321698178340,9643434,9594612,232825211
1786143136,85340378642664,52329930727084,9643434,9594612,232825211
1786143138,85373793884992,52337651033864,9643434,9594612,232825211
1786143140,85405410828888,52344888899284,9643434,9594612,232825211
1786143142,85437125924280,52351598876100,9643434,9594612,232825211
1786143144,85468168378884,52357724909612,9643434,9594612,232825211
1786143146,85498652067368,52363198266964,9643434,9594612,232825211
1786143148,85528847791384,52368185432308,9643434,9594612,232825211
1786143150,85558924194512,52372584156952,9643434,9594612,232825211
1786143152,85589131505460,52378074869000,9643434,9594612,232825211
1786143154,85617726805276,52383252618756,9643434,9594612,232825211
1786143156,85647025384968,52387836053980,9643434,9594612,232825211
1786143158,85677364377108,52392293194404,9643434,9594616,232825211
1786143160,85706095282360,52395643125136,9643434,9594616,232825211
1786143162,85736742895416,52398203527804,9643434,9594616,232825211
1786143164,85770534003204,52399826362544,9643434,9594616,232825211
1786143166,85800327819916,52400863027364,9643434,9594616,232825211
1786143168,85826111895064,52401686516556,9643434,9594616,232825211
1786143170,85850546287540,52401786949568,9643434,9594616,232825211
1786143172,85875060482020,52401887669436,9643434,9594616,232825211
1786143174,85901546413264,52401996558020,9643434,9594616,232825211
1786143176,85926476981240,52402099034476,9643434,9594616,232825211
