ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1786143248,86018763231732,52469053529964,9643451,9594640,232825211
1786143250,86043178861364,52497093155484,9643451,9594640,232825211
1786143252,86069868421856,52522598905736,9643451,9594640,232825211
1786143254,86094324863732,52548194656388,9643451,9594640,232825211
1786143256,86119215845732,52572434659552,9643451,9594640,232825211
1786143258,86141873744868,52597531525524,9643451,9594640,232825211
1786143260,86167209803592,52620588571476,9643451,9594640,232825211
1786143262,86191912946364,52645983586404,9643451,9594640,232825211
1786143264,86218333736764,52670587318152,9643451,9594640,232825211
1786143266,86243505136424,52697596418512,9643451,9594640,232825211
1786143268,86267879470860,52722064674076,9643451,9594640,232825211
1786143271,86293268736040,52746854455276,9643451,9594640,232825211
1786143273,86318499546240,52771387746628,9643451,9594640,232825211
1786143275,86343932155296,52797304956852,9643451,9594640,232825211
1786143277,86367372387356,52821992183100,9643451,9594640,232825211
1786143279,86392528507740,52845830733232,9643451,9594640,232825211
1786143281,86417517028464,52871694795408,9643451,9594640,232825211
1786143283,86444815479244,52897547092152,9644815,9594665,232841225
1786143285,86472296368008,52927726189856,9657444,9594731,233029028
1786143287,86502669523184,52955914315140,9666546,9594813,233170780
1786143289,86532967861784,52986357527484,9676021,9594844,233300967
1786143291,86562969907400,53016300315236,9681380,9594849,233338678
1786143293,86593228510908,53047128583672,9688611,9594861,233400319
1786143295,86623578391192,53077552876780,9697093,9595214,233474077
1786143297,86653965137180,53108425689156,9705396,9595277,233546730
1786143299,86686451121644,53139257617912,9711422,9595350,233592859
1786143301,86720269652860,53172198005480,9718347,9595429,233639303
1786143303,86751160126224,53205701312956,9726055,9595492,233686193
1786143305,86783030864368,53236318036200,9731983,9595931,233752680
1786143307,86814999847228,53268790424992,9738478,9596033,233797223
1786143309,86848497653772,53300556989452,9745382,9596131,233849510
1786143311,86882242672072,53334482935112,9753611,9596336,233901214
1786143313,86916150169904,53367683889972,9761327,9596399,233949885
1786143315,86948983955036,53401396278036,9769581,9596447,234005801
1786143317,86983413134228,53434567673256,9777595,9596769,234062412
1786143319,87018222994612,53468534255900,9785166,9597282,234110768
1786143321,87053480891240,53503657840440,9795913,9597501,234177578
1786143323,87089840546100,53539371386760,9806381,9598286,234237560
1786143325,87124029062752,53574985020092,9814461,9598467,234289586
1786143327,87158833985768,53608033124952,9820533,9598660,234342639
1786143329,87193796991900,53643102404224,9829240,9599842,234399474
1786143331,87229138504804,53677594798040,9838446,9600142,234459863
1786143333,87264139687700,53712996029216,9847638,9600743,234519633
1786143335,87298970343968,53747109032700,9855338,9600972,234570745
1786143337,87333761086868,53781699269240,9863151,9601351,234618209
1786143339,87368219414984,53816233737644,9871154,9601668,234670637
1786143341,87402227315720,53850267807776,9879212,9602819,234724739
1786143343,87436960285600,53884618849032,9886649,9602892,234779133
1786143345,87472320644500,53919138331544,9894775,9602994,234821502
1786143347,87506164640768,53954434209272,9903973,9603091,234878959
1786143349,87540124456936,53988403028044,9911285,9603320,234931340
1786143351,87574669989832,54022522580112,9918282,9603582,234975282
1786143353,87610204262888,54056679853224,9926229,9604093,235024441
1786143355,87645663855404,54091932962284,9935117,9604706,235073733
1786143357,87681265218168,54126733938476,9943702,9604772,235121086
1786143359,87716532529236,54162423518652,9953495,9605013,235181291
1786143361,87751993136848,54197524024436,9961970,9605515,235234984
1786143363,87787622093096,54233031120496,9970306,9605693,235285464
1786143365,87822682525060,54268094787268,9978971,9606116,235339149
1786143367,87858387540516,54302269349888,9987398,9606763,235388514
1786143369,87892565585652,54338012437972,9996187,9607074,235438128
1786143371,87927144988520,54373066530480,10004183,9607732,235486630
1786143373,87963035831564,54407264279296,10011409,9607893,235529638
1786143375,87999056836068,54441938893436,10019800,9610153,235576419
1786143377,88037129992728,54479059826308,10029869,9610777,235625821
1786143379,88074387637300,54516368255836,10039104,9611387,235673511
1786143381,88112572196692,54553485447568,10048331,9613322,235730198
1786143383,88150639845848,54590487756788,10057322,9614061,235786742
1786143385,88189557243660,54627463543048,10066730,9615371,235844206
1786143387,88225192202076,54664574402176,10076743,9615856,235903827
1786143389,88261476082128,54700911624320,10084810,9616178,235960664
1786143391,88297585411220,54737532300592,10094422,9617873,236017149
1786143393,88334366533248,54772929457540,10103100,9618540,236068352
1786143395,88372228287636,54808830612936,10111386,9620182,236117948
1786143397,88411584309516,54846194937364,10122074,9623004,236169181
1786143399,88448941524348,54884760495228,10134908,9625206,236230397
1786143401,88484633930188,54920785841232,10143103,9625698,236285837
1786143403,88520342356816,54955903719084,10149720,9626314,236329510
1786143405,88556666422444,54991808570592,10158748,9626510,236383138
1786143407,88594100006712,55028376954392,10169118,9628169,236439565
1786143409,88628933448200,55064357528152,10177903,9628647,236488367
1786143411,88664740090460,55099699607340,10187539,9629580,236549786
1786143413,88699414606616,55135460853844,10195395,9630152,236594989
1786143415,88734641649828,55170002949164,10202016,9630783,236638881
1786143417,88769908072564,55205446392216,10209435,9632109,236689838
1786143419,88805712271604,55241169589644,10219099,9632370,236743800
1786143421,88842005774800,55276787294000,10227670,9633582,236799747
1786143423,88878116390780,55311888410912,10235650,9633847,236844070
1786143425,88914293289304,55348231485800,10245779,9634979,236900892
1786143427,88949876909568,55383030745784,10252840,9635252,236948290
1786143429,88985155704276,55418965069848,10261798,9635522,236996822
1786143431,89019440640452,55453492477492,10270366,9635600,237054118
1786143433,89055999544304,55488404793688,10278719,9636136,237105641
1786143435,89091932599896,55524246308144,10287727,9636619,237154000
1786143437,89127999167552,55559916078312,10298459,9637941,237214585
1786143439,89163600695912,55595540145492,10307134,9638011,237264143
1786143441,89199552673024,55630480039104,10315993,9638283,237322931
1786143443,89234285922212,55666254996144,10325441,9639049,237387476
1786143445,89268904403604,55700108758092,10333505,9639614,237447634
1786143447,89302588875304,55734645581492,10341538,9640244,237498773
1786143449,89336250162268,55767317306644,10348447,9640405,237549757
1786143451,89370140647192,55800727330768,10355839,9640468,237614747
1786143453,89403154214736,55833796223684,10363749,9640570,237665758
1786143455,89436491566868,55866422783588,10370559,9640948,237712448
1786143457,89468606520356,55898702755012,10377793,9640980,237769687
1786143459,89500370486528,55931153570440,10387610,9640995,237854797
1786143461,89530761441764,55962205874696,10394904,9641540,237923251
1786143463,89561025461364,55991886107300,10401258,9641876,237978931
1786143466,89591810438408,56021938867324,10408216,9642133,238034057
1786143468,89622455737768,56052268738712,10413383,9642206,238070155
1786143470,89653439176348,56082029098764,10417468,9642394,238101004
1786143472,89690336072452,56114633319696,10425640,9642856,238172075
1786143474,89726284231216,56150788521976,10438888,9643755,238304922
