ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1786142570,74901096872104,50623661307852,9643427,9529489,232825211
1786142572,74921754790120,50623746419616,9643427,9529611,232825211
1786142574,74968038983412,50623936830108,9643427,9531928,232825211
1786142576,75015523655900,50624132048544,9643427,9532059,232825211
1786142578,75059859128020,50624314419000,9643427,9532059,232825211
1786142580,75105454556620,50624501904564,9643427,9532059,232825211
1786142582,75148070359956,50624677121824,9643427,9532059,232825211
1786142584,75191621285316,50624856166284,9643427,9532072,232825211
1786142586,75233500321456,50625028368184,9643427,9532072,232825211
1786142588,75277461286924,50625209124860,9643427,9532072,232825211
1786142590,75321489074472,50625390083404,9643427,9532072,232825211
1786142592,75367905405148,50625581013516,9643427,9532072,232825211
1786142594,75410648004976,50625756814448,9643427,9532072,232825211
1786142596,75454588632096,50625937466360,9643427,9532072,232825211
1786142598,75498366060728,50626117359356,9643427,9532072,232825211
1786142600,75542991922832,50626300912900,9643427,9532072,232825211
1786142602,75587846947412,50626636350040,9643427,9532072,232825211
1786142604,75630713848228,50627992515564,9643427,9532072,232825211
1786142606,75678321696616,50631748626936,9643427,9532451,232825211
1786142608,75725297925036,50636191606392,9643427,9532813,232825211
1786142611,75773277831448,50640288721236,9643427,9532831,232825211
1786142613,75818553711440,50644870191424,9643427,9533806,232825211
1786142615,75866849887480,50649931188976,9643427,9534098,232825211
1786142617,75915012400156,50655277160292,9643427,9535914,232825211
1786142619,75963057229424,50660926363972,9643427,9536862,232825211
1786142621,76010032620140,50666969442352,9643427,9537249,232825211
1786142623,76057458683200,50673239764856,9643427,9538844,232825211
1786142625,76104830203980,50679710354244,9643427,9539190,232825211
1786142627,76153454334052,50686107406168,9643427,9540144,232825211
1786142629,76202458851900,50692508642248,9643427,9540818,232825211
1786142631,76249750699044,50699415474072,9643427,9541482,232825211
1786142633,76298239242056,50706149673272,9643427,9541760,232825211
1786142635,76346182625196,50713143020352,9643427,9541878,232825211
1786142637,76394846661260,50719961396112,9643427,9542504,232825211
1786142639,76442898465232,50727122138864,9643427,9542825,232825211
1786142641,76491759548148,50734150608616,9643427,9542846,232825211
1786142643,76539663017260,50741568187356,9643427,9544019,232825211
1786142645,76588111838240,50748851126344,9643427,9544670,232825211
1786142647,76636457519332,50756093048752,9643427,9545454,232825211
1786142649,76685385579416,50763306690108,9643427,9545512,232825211
1786142651,76734397503616,50770640020680,9643427,9545698,232825211
1786142653,76782439789996,50777953104068,9643427,9545837,232825211
1786142655,76831457112272,50785322258580,9643427,9545837,232825211
1786142657,76880325467768,50792773386616,9643427,9545837,232825211
1786142659,76929193164648,50800170230164,9643427,9546215,232825211
1786142661,76977832925400,50807358863844,9643427,9547826,232825211
1786142663,77026627788344,50814892809396,9643427,9548353,232825211
1786142665,77075254899444,50822495079820,9643427,9549012,232825211
1786142667,77124196340512,50829970439144,9643427,9549567,232825211
1786142669,77172550635200,50837745425776,9643427,9549935,232825211
1786142671,77221012904032,50845495604180,9643427,9550779,232825211
1786142673,77269976336408,50853077914668,9643427,9550847,232825211
1786142675,77318277196724,50860978387932,9643427,9550936,232825211
1786142677,77366685511928,50868858330464,9643427,9551698,232825211
1786142679,77414883640756,50876931848240,9643427,9552659,232825211
1786142681,77463649074872,50884677954856,9643427,9553051,232825211
1786142683,77512126034704,50892558721736,9643427,9553425,232825211
1786142685,77560745864944,50900269981020,9643427,9554350,232825211
1786142687,77608967743972,50907945671748,9643427,9554772,232825211
1786142689,77657731316112,50915735981924,9643427,9555596,232825211
1786142691,77706159292656,50923305854016,9643427,9556708,232825211
1786142693,77754767851920,50931190748200,9643427,9557361,232825211
1786142695,77803856298188,50938858638124,9643427,9557424,232825211
1786142697,77852077125356,50947012043684,9643427,9557831,232825211
1786142699,77900623812856,50955033782036,9643427,9558350,232825211
1786142701,77949586448888,50962812235944,9643427,9558544,232825211
1786142703,77998675160328,50970487711828,9643427,9558544,232825211
1786142705,78047759740556,50978229029896,9643427,9558924,232825211
1786142707,78096716513772,50986033157532,9643427,9559241,232825211
1786142709,78145811153820,50993799392072,9643427,9559392,232825211
1786142711,78194922756696,51001564647312,9643427,9559392,232825211
1786142713,78243911296948,51009411552508,9643427,9559906,232825211
1786142715,78292887032872,51017196163340,9643427,9560564,232825211
1786142717,78341839007220,51025084964596,9643427,9560708,232825211
1786142719,78390591938036,51033044736464,9643427,9560953,232825211
1786142721,78439683057336,51040891109624,9643427,9561192,232825211
1786142723,78488799322640,51048804778052,9643427,9561361,232825211
1786142725,78537875582860,51056658582144,9643427,9561572,232825211
1786142727,78586862274680,51064632759964,9643427,9561615,232825211
1786142729,78635357889104,51072946192088,9643427,9562296,232825211
1786142731,78684217184156,51080995261736,9643427,9563175,232825211
1786142733,78733242027260,51088976942704,9643427,9563292,232825211
1786142735,78782008984980,51097110793872,9643427,9563896,232825211
1786142737,78830395430720,51105379219764,9643427,9564540,232825211
1786142739,78879235546620,51113468352540,9643427,9564952,232825211
1786142741,78928058067680,51121659800524,9643427,9565846,232825211
1786142743,78976987041460,51129707247124,9643427,9566349,232825211
1786142745,79025086653540,51138149410088,9643427,9567871,232825211
1786142747,79073521430156,51145942611252,9643427,9569055,232825211
1786142749,79122267006592,51154120209040,9643427,9569518,232825211
1786142751,79170874318800,51162224919072,9643427,9570059,232825211
1786142753,79219564077348,51170417175180,9643428,9570498,232825211
1786142755,79268498302152,51178428964852,9643428,9571113,232825211
1786142757,79316859390056,51186855987528,9643429,9571669,232825211
1786142759,79365638249568,51194901261984,9643429,9572124,232825211
1786142761,79414614993444,51202916468600,9643429,9572124,232825211
1786142763,79463397627132,51211010907984,9643429,9573112,232825211
1786142765,79512339719644,51218941417496,9643429,9573810,232825211
1786142767,79560795694820,51227104474088,9643429,9574398,232825211
1786142769,79609749335508,51234926584100,9643429,9575345,232825211
1786142771,79658436569284,51242710660204,9643429,9576847,232825211
1786142773,79707135275416,51250687864904,9643431,9577223,232825211
1786142775,79755720753680,51258688711160,9643431,9577304,232825211
1786142777,79804409528148,51266607157448,9643431,9578194,232825211
1786142779,79853181813972,51274457584924,9643431,9578423,232825211
1786142781,79902001724576,51282276149668,9643431,9578798,232825211
1786142783,79950991069180,51289948104672,9643431,9578810,232825211
1786142785,79999940163636,51297674107912,9643431,9579065,232825211
1786142787,80048808688696,51305185395948,9643431,9579575,232825211
1786142789,80096947960048,51312938385052,9643431,9580253,232825211
1786142791,80145626486256,51320673231364,9643431,9581179,232825211
1786142793,80194319924224,51328346582920,9643431,9582436,232825211
1786142795,80243282719328,51335795574724,9643431,9582927,232825211
1786142797,80292174077100,51343259195584,9643431,9583402,232825211
