ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1786142270,71045449280796,49716822068288,9643426,9511946,232825211
1786142272,71057522816144,49716871739148,9643426,9512131,232825211
1786142274,71086538534792,49716991021912,9643426,9512131,232825211
1786142277,71115204053052,49717108860692,9643426,9512131,232825211
1786142279,71140405559316,49717212452244,9643426,9512131,232825211
1786142281,71166348666952,49717319064812,9643426,9512131,232825211
1786142283,71190239093524,49717417270628,9643426,9512131,232825211
1786142285,71215031843560,49717519138584,9643426,9512131,232825211
1786142287,71238150315916,49717614223432,9643426,9512131,232825211
1786142289,71262993301404,49717716351108,9643426,9512131,232825211
1786142291,71287930518704,49717818825036,9643426,9512131,232825211
1786142293,71314721846132,49717928951904,9643426,9512131,232825211
1786142295,71338693381052,49718027558272,9643426,9512131,232825211
1786142297,71363465057252,49718129304172,9643426,9512131,232825211
1786142299,71388176042836,49718230853504,9643426,9512131,232825211
1786142301,71413835532896,49718336347956,9643426,9512131,232825211
1786142303,71439346307420,49718592135416,9643426,9512131,232825211
1786142305,71463749175396,49719853654876,9643426,9512131,232825211
1786142307,71493224896580,49724178497544,9643426,9512131,232825211
1786142309,71523383296072,49729490381108,9643426,9512131,232825211
1786142311,71553878184880,49734228981320,9643426,9512131,232825211
1786142313,71582635503220,49739905667960,9643426,9512131,232825211
1786142315,71614611210356,49746071245968,9643426,9512131,232825211
1786142317,71646962469324,49752789967264,9643426,9512131,232825211
1786142319,71679115504084,49760097052220,9643426,9512131,232825211
1786142321,71710741373096,49767776437476,9643426,9512131,232825211
1786142323,71742922423016,49775775584512,9643426,9512131,232825211
1786142325,71774768338204,49784156623140,9643426,9512148,232825211
1786142327,71809389521588,49792538632012,9643426,9512155,232825211
1786142329,71844221899408,49801225939576,9643426,9512156,232825211
1786142331,71876447847396,49810464000984,9643426,9512156,232825211
1786142333,71910165387208,49819712390764,9643426,9512171,232825211
1786142335,71943597960728,49829354164440,9643427,9512171,232825211
1786142337,71978416255940,49839138124976,9643427,9512171,232825211
1786142339,72013552274612,49849039662328,9643427,9512310,232825211
1786142341,72048832158996,49859016133988,9643427,9512340,232825211
1786142343,72081961722412,49869099544700,9643427,9514497,232825211
1786142345,72116674431852,49879196051028,9643427,9516194,232825211
1786142347,72152600775240,49889064435484,9643427,9516312,232825211
1786142349,72189132694168,49898830364820,9643427,9516399,232825211
1786142351,72225557284492,49908656553788,9643427,9516407,232825211
1786142353,72259896895020,49918786864776,9643427,9516413,232825211
1786142355,72295219062444,49928435560336,9643427,9518138,232825211
1786142357,72330005155536,49938321587976,9643427,9519158,232825211
