ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1786148688,97364725321264,57834438436792,10885577,11110818,245407255
1786148690,97394319830456,57834560077772,10885577,11110818,245407255
1786148692,97421949416136,57834673586448,10885577,11110818,245407255
1786148694,97447579004472,57834778982412,10885577,11110818,245407255
1786148696,97472914630180,57834883060288,10885577,11110818,245407255
1786148698,97497057226364,57834982316640,10885577,11110818,245407255
1786148700,97522134542856,57835085404092,10885577,11110818,245407255
1786148702,97545216189176,57835180314984,10885577,11110818,245407255
1786148704,97570572386800,57835284475392,10885577,11110818,245407255
1786148706,97594917336184,57835384591540,10885577,11110818,245407255
1786148708,97621777560892,57835494983448,10885577,11110818,245407255
1786148710,97646035008512,57835594673412,10885577,11110818,245407255
1786148712,97670702302056,57835696073744,10885577,11110818,245407255
1786148714,97695235962488,57835796979828,10885577,11110818,245407255
1786148716,97720953594104,57835905921260,10885577,11110818,245407255
1786148718,97746066145816,57836505469224,10885577,11110818,245407255
1786148720,97771292411596,57837668608360,10885577,11110823,245407255
1786148722,97798304075808,57839364395384,10885577,11110841,245407255
1786148724,97824991173920,57841499241492,10885577,11111251,245407255
1786148726,97853497091348,57843960114836,10885577,11112245,245407255
1786148728,97879406766396,57846773977500,10885580,11113273,245407264
1786148730,97908605820772,57849917459528,10885594,11115482,245407323
1786148732,97937091481744,57853349875144,10885643,11117904,245407579
1786148734,97965770358344,57857009392744,10885712,11121286,245407958
1786148737,97993714150656,57860900662124,10885793,11124450,245408343
1786148739,98022158204056,57865116412712,10886028,11128213,245410138
1786148741,98050156264408,57869497213620,10886332,11132680,245413009
1786148743,98080842866904,57874078824640,10886600,11138443,245415370
1786148745,98111729580964,57878830263040,10886942,11145333,245418566
1786148747,98139548657680,57883731490744,10887272,11151270,245420824
1786148749,98169197518976,57888801043532,10887771,11158214,245425956
1786148751,98197687603016,57894029794096,10888431,11164924,245434511
1786148753,98228398421944,57899364069240,10889234,11173472,245445195
1786148755,98258069685704,57904783431292,10889899,11181726,245451986
1786148757,98288454820508,57910346743536,10890766,11190068,245461336
1786148759,98318188150436,57915964017572,10891581,11199091,245470021
1786148761,98348348337784,57921694222464,10892641,11207773,245486833
1786148763,98378993031760,57927438493372,10893695,11217390,245502311
1786148765,98410104923160,57933461602960,10894747,11228167,245516559
1786148767,98441109417088,57939611360612,10896021,11238278,245535430
1786148769,98470870050728,57945833202300,10897550,11247895,245560678
1786148771,98501230253160,57952050519196,10898943,11257651,245581176
1786148773,98531325815932,57958253793720,10900253,11267163,245596850
1786148775,98562359740744,57964552679744,10901574,11278236,245614693
1786148777,98592696884304,57970979085208,10903056,11289017,245637179
1786148779,98623083311384,57977286952024,10904277,11299545,245650244
1786148781,98653120030020,57983697496932,10905597,11310476,245669010
1786148783,98683565446764,57990227449400,10907145,11321642,245690084
1786148785,98713730637396,57996829510896,10908662,11332823,245713865
1786148787,98743759329840,58002938055300,10910124,11342699,245735228
1786148789,98774162749464,58009617816544,10911630,11353612,245755489
1786148791,98804438211648,58016310307036,10913018,11365036,245775097
1786148793,98834613375552,58022955310656,10914449,11376004,245794144
1786148795,98864746145968,58029876282852,10916216,11388232,245821128
1786148797,98894291932876,58036800992568,10918085,11399349,245849154
1786148799,98924036833656,58043390014008,10919955,11410609,245877516
1786148801,98955024449712,58050414401300,10921703,11423253,245901092
1786148803,98984831851140,58057561699900,10924082,11435187,245938864
1786148805,99015102514516,58064727501288,10926131,11447390,245971193
1786148807,99045356894148,58071734904040,10927786,11459603,245993961
1786148809,99075785145432,58078892030932,10929540,11471031,246019987
1786148811,99105915528856,58086137780820,10931669,11483674,246048863
1786148813,99135739619944,58093191107696,10933697,11495562,246084013
1786148815,99165538857092,58100327213792,10935658,11507965,246120053
1786148817,99196110991224,58107286935024,10937789,11520589,246159071
1786148819,99226345429032,58114492244636,10939515,11533396,246183285
1786148821,99256240358524,58121697614716,10941358,11545617,246213087
1786148823,99286653857220,58128979571520,10943227,11558616,246241283
1786148825,99317708169688,58136294211104,10945271,11572146,246272944
1786148827,99348592266416,58143634905352,10947285,11584939,246299557
1786148829,99379345670000,58151037382268,10949446,11597820,246333437
1786148831,99410509011176,58158373014828,10951264,11611090,246363803
1786148833,99440754590588,58165769332772,10952910,11624625,246388891
1786148835,99471313340080,58173155102252,10954837,11637088,246420102
1786148837,99502192827500,58180540837284,10956824,11650228,246454738
1786148839,99532384339376,58187368674928,10958499,11661820,246483014
1786148841,99562988041308,58194225697856,10960418,11673318,246515588
1786148843,99593233396936,58201039450528,10962008,11685247,246541053
1786148845,99623303683588,58207445411264,10963364,11696542,246558254
1786148847,99653923189984,58213817382560,10964744,11707942,246580523
1786148849,99684769562904,58219985047812,10966237,11719081,246601193
1786148851,99715050321408,58225981966272,10967615,11728776,246620944
1786148853,99745165030284,58231461213408,10968541,11737232,246631704
1786148855,99775034816624,58236777114160,10969176,11745537,246638059
1786148857,99803141488264,58241919808656,10969751,11751372,246645574
1786148859,99832269478712,58246779203752,10970197,11756906,246649571
1786148861,99861034672596,58251351810500,10970477,11763115,246652759
1786148863,99890229482304,58255686293104,10970693,11768481,246654623
1786148865,99918379795024,58259815810680,10970847,11772615,246655833
