ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1786148936,100671135728244,58335640284504,10971031,11786774,246656856
1786148938,100696220642376,58364948405472,10971031,11786774,246656856
1786148940,100722681916772,58389945995504,10971031,11786774,246656856
1786148942,100747321328832,58416100787512,10971031,11786774,246656856
1786148944,100772389315384,58440558424620,10971031,11786774,246656856
1786148946,100795386933324,58465433959480,10971031,11786774,246656856
1786148948,100820265656060,58488147448980,10971031,11786774,246656856
1786148950,100845371311816,58513279386160,10971031,11786774,246656856
1786148952,100871146290132,58538290757300,10971031,11786774,246656856
1786148954,100897282380612,58564869274248,10971031,11786774,246656856
1786148957,100920921087892,58589207991868,10971031,11786774,246656856
1786148959,100946833000540,58614125106268,10971031,11786774,246656856
1786148961,100971554898020,58639030788116,10971031,11786774,246656856
1786148963,100997253625744,58664632690104,10971031,11786774,246656856
1786148965,101020920353328,58690423227124,10971031,11786774,246656856
1786148967,101046315304952,58714148038860,10971031,11786774,246656856
1786148969,101072351024160,58740631276584,10971031,11786776,246656856
1786148971,101099782902328,58767237651444,10971045,11786828,246656900
1786148973,101125912247256,58795268917196,10971443,11787098,246660025
1786148975,101153513951316,58820894464148,10971748,11787570,246662052
1786148977,101182533838608,58849582521116,10972776,11788622,246669708
1786148979,101210775979260,58878478782328,10974732,11790530,246688014
1786148981,101238984070292,58907246361228,10976598,11792359,246707204
1786148983,101266921470896,58935438599852,10979433,11795580,246738839
1786148985,101294408970272,58963435629344,10983013,11798732,246784937
1786148987,101323716823508,58991053017260,10986058,11803018,246824514
1786148989,101354967881980,59021527366840,10991316,11808752,246883918
1786148991,101382871438368,59052597458288,10996687,11813589,246952991
1786148993,101412670074080,59080628557236,11001206,11819811,247012354
1786148995,101441248659236,59110157317140,11006804,11825736,247096997
1786148997,101470608793132,59138514536084,11012146,11832547,247178434
1786148999,101500699820684,59168672276184,11018471,11840541,247268932
1786149001,101531160994284,59199317126968,11026677,11848763,247421762
1786149003,101560807007172,59229673479712,11033841,11857331,247542460
1786149005,101590870331564,59258862116316,11041614,11865595,247687094
1786149007,101621506317188,59288925463680,11046848,11873559,247766142
1786149009,101653015550416,59320693201928,11057913,11884498,247970600
1786149011,101685545826756,59352392244128,11066474,11896047,248139539
1786149013,101714821634876,59384107193360,11075593,11904492,248323154
1786149015,101745612957192,59413686009304,11082835,11913687,248449422
1786149017,101777165140340,59445338916216,11092970,11925654,248638003
1786149019,101808683440040,59476834471792,11105104,11936882,248864619
1786149021,101840680915532,59508293309336,11114821,11948498,249039757
1786149023,101871390927160,59539763955500,11125009,11958853,249235919
1786149025,101903555951756,59571284385076,11135063,11971608,249443067
1786149027,101934658599900,59602734524040,11146662,11983190,249679547
1786149029,101964823321004,59633430614056,11155712,11993305,249879545
1786149031,101995938668316,59664274957652,11165142,12007138,250086388
1786149033,102027216011008,59694931944700,11174985,12020053,250295907
1786149035,102058111964348,59726856190244,11187196,12031416,250567755
1786149037,102088670092332,59757038141852,11196493,12042400,250762189
1786149039,102119412752324,59787092171592,11205092,12054569,250929576
1786149041,102150643892468,59818270896128,11215544,12067612,251135731
1786149043,102182492677576,59850090525620,11228740,12080828,251425355
1786149045,102213944341692,59880553013240,11238248,12093591,251631407
1786149047,102244316675528,59912218284364,11249894,12104924,251889833
1786149049,102275766876568,59943795874828,11262382,12117587,252169566
1786149051,102307914767588,59975940444000,11274393,12131393,252419539
1786149053,102339713643616,60007910521084,11285924,12145288,252658959
1786149055,102372623638584,60040068717476,11299447,12159697,252946507
1786149057,102403272830596,60072660238028,11312938,12172786,253270900
1786149059,102434800681456,60103579362396,11324096,12187625,253483192
1786149061,102467640904936,60134819289360,11336559,12204301,253778534
1786149063,102501151317340,60167506807832,11350575,12221861,254115001
1786149065,102535103595968,60200713792164,11365505,12241402,254430659
1786149067,102568504280476,60234203346224,11380790,12258696,254773947
1786149069,102602204484004,60266524334540,11394086,12275739,255085122
1786149071,102636154236780,60299270657456,11407496,12293141,255387048
1786149073,102671177375216,60331730087344,11419869,12310648,255644446
1786149075,102703825339552,60365337178076,11435078,12325831,255966760
1786149077,102736484105216,60397922691856,11449439,12339386,256262742
1786149079,102768775441680,60431295739880,11465009,12354497,256595474
1786149081,102802015958296,60462813390804,11478321,12369640,256883980
1786149083,102835548825872,60495535926496,11492326,12385889,257196979
1786149085,102868497661672,60528357194220,11506060,12402457,257479603
1786149087,102901387743120,60562860128292,11523204,12416632,257836866
1786149089,102933393855720,60594540059832,11533637,12430425,258044460
1786149091,102965402772232,60626211313040,11544895,12443986,258259360
1786149093,102996814030684,60657853386772,11555317,12457110,258457198
1786149095,103029819593692,60689400860548,11566272,12471690,258683663
1786149097,103059787489512,60721216973064,11576155,12482822,258866774
1786149099,103090607579140,60751238354780,11583556,12493786,259009651
1786149101,103120119356020,60782009511164,11592229,12502232,259157769
1786149103,103149500782568,60810801621096,11597722,12510150,259245997
1786149105,103178875045088,60840054025104,11602929,12517832,259326547
1786149107,103208219862068,60869142221648,11608117,12523525,259395969
1786149109,103238326199076,60898458225772,11613485,12529837,259467880
1786149111,103267474035876,60927928343156,11618222,12535489,259535346
1786149113,103297138283764,60957452975012,11622121,12539850,259582895
1786149115,103325619457100,60985857886736,11624867,12543954,259615647
1786149117,103353911024016,61014699371168,11627452,12546374,259648630
1786149119,103381016707180,61042310355280,11629000,12548206,259664217
1786149121,103410032903668,61069709930244,11630142,12549752,259673795
1786149123,103438942791608,61099258940008,11631704,12551209,259689671
1786149125,103467542322124,61127642548268,11632802,12552275,259698479
1786149127,103496386227496,61156465672532,11633589,12552816,259705651
1786149130,103525157684908,61184584143540,11633760,12553190,259706468
1786149132,103552858670600,61213064007928,11633905,12553336,259707191
1786149134,103580063477360,61239828422164,11633954,12553432,259707410
1786149136,103606529643904,61267314832864,11633994,12553466,259707574
1786149138,103633165866364,61293157960508,11633999,12553493,259707586
1786149140,103660048200512,61319827172560,11634007,12553497,259707621
1786149142,103685610195704,61346420536880,11634007,12553501,259707621
1786149144,103712493646980,61372500967816,11634007,12553501,259707621
1786149146,103738564225684,61398952283936,11634007,12553501,259707621
1786149148,103764585725020,61425086695240,11634007,12553501,259707621
1786149150,103789469802324,61450682561156,11634007,12553501,259707621
1786149152,103813892097612,61474810187544,11634007,12553501,259707621
1786149154,103839369735872,61499765321128,11634007,12553501,259707621
1786149156,103865269011584,61525206856940,11634007,12553501,259707621
1786149158,103891392445556,61551061058708,11634007,12553501,259707621
1786149160,103923283658100,61578929010612,11634007,12553501,259707621
