ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1786148453,93602678904668,57380947859536,10750299,10353389,243302143
1786148455,93623314790112,57381032909388,10750299,10353498,243302143
1786148457,93671341702328,57381230453592,10750299,10353498,243302143
1786148459,93718856025100,57381425840224,10750299,10353509,243302143
1786148461,93763176315704,57381608122112,10750299,10353509,243302143
1786148463,93808788275672,57381795662156,10750299,10353509,243302143
1786148465,93851405863504,57381970897540,10750299,10353509,243302143
1786148467,93894982548536,57382150070544,10750299,10353509,243302143
1786148469,93936878700220,57382322352824,10750299,10353509,243302143
1786148471,93980859711636,57382503228404,10750299,10353908,243302143
1786148473,94024890716440,57382684225236,10750299,10353908,243302143
1786148475,94071385714276,57382875416780,10750299,10353908,243302143
1786148477,94114157494432,57383051372180,10750299,10353908,243302143
1786148480,94158114910764,57383232095744,10750299,10353908,243302143
1786148482,94201873028588,57383417081948,10750299,10353908,243302143
1786148484,94247174477132,57384167399328,10750299,10372738,243302143
1786148486,94292555783320,57385378738804,10750299,10381307,243302143
1786148488,94335492194684,57387040918416,10750299,10387798,243302143
1786148490,94378775761600,57389102804332,10750299,10393815,243302143
1786148492,94420225243468,57391515054376,10750303,10400166,243302165
1786148494,94460184401132,57394290113564,10750312,10406400,243302199
1786148496,94497790605424,57397389973940,10750342,10412387,243302370
1786148498,94533955840908,57400795509268,10750406,10418765,243302646
1786148500,94569018152940,57404410681420,10750504,10425246,243303147
1786148502,94603313769620,57408231348636,10750643,10431398,243304152
1786148504,94637156170364,57412252595204,10750859,10437762,243306123
1786148506,94670384825940,57416531987140,10751200,10444634,243308792
1786148508,94702590909860,57421005586092,10751654,10451692,243312877
1786148510,94733444477896,57425659318376,10752269,10458109,243319331
1786148512,94765093604168,57430486930616,10753051,10465450,243327463
1786148514,94795583490732,57435446549028,10753911,10472000,243335961
1786148516,94825569231824,57440539925720,10754828,10478769,243345584
1786148518,94855012899624,57445786521964,10755947,10485721,243359621
1786148520,94884942974072,57450847475796,10756929,10492685,243371969
1786148522,94914125831280,57456300550616,10758160,10499745,243388458
1786148524,94943473728396,57461907778592,10759530,10507224,243407091
1786148526,94972688658396,57467605334288,10761067,10514745,243426169
1786148528,95001860762384,57473444598132,10762797,10522885,243448154
1786148530,95030869184932,57479333563488,10764612,10530341,243477746
1786148532,95060021188376,57485321991352,10766705,10538586,243511411
1786148534,95088582166368,57491377603880,10768899,10546090,243547566
1786148536,95117083270064,57497476355344,10770924,10553602,243578559
1786148538,95145906272760,57503406844452,10772970,10561323,243607081
1786148540,95174343254972,57509614361680,10775132,10569360,243637732
1786148542,95202084444000,57515775912188,10777293,10576968,243668617
1786148544,95230903620744,57522089508960,10779825,10586079,243705544
1786148546,95259394940592,57528522088056,10782141,10594710,243742110
1786148548,95287363529972,57534988434116,10784609,10603269,243779166
1786148550,95315962659940,57541513795944,10787267,10612396,243820906
1786148552,95344142942792,57548012895072,10789655,10621360,243857511
1786148554,95372732069356,57554582960912,10792101,10630486,243894435
1786148556,95400764859424,57561164090524,10794847,10639096,243945590
1786148558,95429443938968,57567749673896,10797586,10647893,243991739
1786148560,95457520544804,57574376978152,10800211,10656720,244030400
1786148562,95485262590432,57581035609452,10802864,10665788,244076051
1786148564,95512423434480,57587706680148,10805595,10673944,244120543
1786148566,95540101312588,57594454145524,10808421,10683715,244166252
1786148568,95568075298920,57601284012812,10811370,10692864,244217266
1786148570,95595163157048,57608187571996,10814362,10701436,244265839
1786148572,95622905912196,57615072674268,10816947,10710449,244307928
1786148574,95650247357440,57622013581884,10820122,10719287,244362249
1786148576,95677650385796,57628970046304,10823532,10727862,244418167
1786148578,95704207018400,57635780029732,10826468,10735534,244465148
1786148580,95731954515448,57642683697780,10829494,10744985,244517241
1786148582,95759369250780,57649688657304,10832889,10753669,244575313
1786148584,95787296217992,57656687670332,10835943,10763066,244625574
1786148586,95815068685940,57663697528952,10839052,10771736,244674231
1786148588,95842978347372,57670751944836,10842298,10781148,244732363
1786148590,95870709750408,57677784001008,10845534,10789963,244785874
1786148592,95898744637376,57684809051996,10849199,10800097,244851275
1786148594,95926504759984,57691713813288,10851915,10809539,244894225
1786148596,95953873376176,57698863438820,10854950,10818006,244944621
1786148598,95982146371176,57705971687756,10858048,10827844,244998907
1786148600,96009473716640,57712992261324,10860580,10836500,245033789
