ts,tx_bytes,rx_bytes,np_cnp_sent,rp_cnp_handled,np_ecn_marked
1786148213,90496805547088,56927401473464,10608935,9829810,241028170
1786148215,90509218324140,56927452567972,10608935,9829842,241028170
1786148217,90538263312436,56927572005972,10608935,9829842,241028170
1786148219,90566931764972,56927689777356,10608935,9829842,241028170
1786148221,90592157615120,56927793503484,10608935,9829842,241028170
1786148223,90618138183680,56927900277376,10608935,9829842,241028170
1786148225,90642015678648,56927998423136,10608935,9829842,241028170
1786148227,90666808430956,56928100320136,10608935,9829842,241028170
1786148229,90689978340596,56928195567424,10608935,9829842,241028170
1786148231,90714893974000,56928297995012,10608935,9829842,241028170
1786148233,90739783441780,56928400262912,10608935,9829842,241028170
1786148235,90766637002580,56928510658304,10608935,9829842,241028170
1786148237,90790651102284,56928609390520,10608935,9829842,241028170
1786148239,90815436278052,56928711214628,10608935,9829842,241028170
1786148241,90840103385156,56928820643668,10608935,9829842,241028170
1786148243,90866458918404,56929498025364,10608935,9829842,241028170
1786148245,90892776825400,56930711058412,10608935,9829845,241028170
1786148247,90917696397832,56932388729172,10608935,9829859,241028170
1786148249,90944945455352,56934409803612,10608935,9829934,241028170
1786148251,90972137302368,56936814054900,10608935,9830395,241028170
1786148253,91000682938924,56939530188704,10608940,9832200,241028182
1786148255,91026830358244,56942536272280,10608978,9832923,241028390
1786148257,91056018743980,56945821902616,10609016,9835119,241028598
1786148259,91085007715200,56949366610916,10609096,9837481,241028979
1786148261,91113739963972,56953138988592,10609276,9840436,241030698
1786148263,91141754336552,56957159394052,10609501,9844168,241032815
1786148265,91170229343760,56961402600664,10609761,9848067,241034581
1786148267,91198183706052,56965802111984,10610094,9852118,241037253
1786148269,91228722880232,56970357985300,10610586,9858135,241041416
1786148271,91259241485364,56975143839912,10611278,9864039,241048727
1786148273,91287224221480,56980044477504,10612040,9869497,241057026
1786148275,91316436806776,56985114704584,10612927,9875715,241067573
1786148277,91345015116924,56990284096916,10614139,9881856,241085569
1786148279,91374468897924,56995535404184,10615274,9888761,241099990
1786148281,91402598734012,57000851610180,10616452,9895168,241114518
1786148283,91432000196564,57006439529972,10617717,9902229,241131270
1786148285,91460264117896,57012198146340,10619474,9908790,241158988
1786148287,91489425585628,57018033590360,10621376,9916334,241188887
1786148289,91518371586880,57024022093760,10623225,9923707,241218805
1786148291,91547421166696,57030151834844,10625495,9931406,241255432
1786148293,91576273835504,57036422814972,10627829,9939438,241295219
1786148295,91605158134332,57042799445688,10630216,9947077,241332983
1786148297,91634852494508,57049128889284,10632802,9955744,241370085
1786148299,91663978004408,57055645878228,10635403,9963733,241407906
1786148301,91693067452000,57062186754428,10638242,9972317,241456816
1786148303,91722073518668,57068802486512,10640850,9980671,241497937
1786148305,91750679471520,57075539313812,10643724,9989194,241541221
1786148307,91779720600748,57082190616644,10646623,9998251,241590939
1786148309,91808486042144,57088873191660,10649285,10006994,241637624
1786148311,91836857803376,57095564844912,10651868,10015371,241676655
1786148313,91865563858516,57102306243172,10655009,10024324,241728633
1786148315,91893865501416,57109142235916,10658009,10033004,241777181
1786148317,91922041740204,57116039016732,10660955,10041429,241826430
1786148319,91949655218556,57122947579352,10664244,10049891,241885384
1786148321,91977719254792,57129970298792,10667429,10058647,241935922
1786148323,92005616090764,57136996446228,10670939,10067788,241997002
1786148326,92033918093848,57144028599884,10674355,10077445,242053428
1786148328,92062295547236,57151020576108,10677390,10086974,242104316
1786148330,92090874767460,57158099731180,10680704,10096888,242161064
1786148332,92118944810608,57165192523008,10684245,10106032,242221838
1786148334,92147109444556,57172299336328,10687714,10114890,242281937
1786148336,92175192174556,57179388084912,10690952,10124096,242332092
1786148338,92203005444356,57186537384296,10694063,10132924,242383909
1786148340,92231226814924,57193665741352,10697098,10142801,242432633
1786148342,92259444527632,57200865113160,10700197,10151763,242493129
1786148344,92287398926392,57208085788816,10703716,10161012,242558290
1786148346,92315736487452,57215152051040,10706753,10170416,242610324
1786148348,92343505099676,57222254452584,10710045,10179288,242668161
1786148350,92371494422456,57229317757924,10712818,10188627,242711966
1786148352,92399600423440,57236405922424,10715991,10198464,242764592
1786148354,92427484478008,57243460187328,10719081,10208657,242816133
1786148356,92454775696768,57250490773792,10721932,10217534,242862854
1786148358,92482468157072,57257508884968,10725075,10226578,242919218
1786148360,92509562924496,57264245093884,10727784,10234932,242964885
1786148362,92537486627772,57271125327024,10730672,10245130,243013118
1786148364,92565519027296,57278096174072,10733646,10255396,243058432
1786148366,92593743345444,57284736319348,10736116,10265074,243098463
1786148368,92621927261864,57291377192632,10738611,10274630,243140265
1786148370,92650607841796,57297546715612,10740809,10283899,243174829
1786148372,92678698886948,57303632448188,10742807,10292457,243206511
1786148374,92706667075868,57309535211004,10744664,10300012,243232439
1786148376,92735581609116,57315185478652,10746219,10307559,243256518
1786148378,92764216619800,57320596868268,10747315,10314522,243272186
1786148380,92793092245068,57325715402636,10748165,10322024,243282412
1786148382,92822048226936,57330545408552,10748858,10327728,243288901
1786148384,92849930017444,57335162272508,10749324,10332438,243294481
1786148386,92878197637180,57339470027776,10749674,10336274,243297445
1786148388,92906597695384,57343556790676,10749897,10340866,243299434
1786148390,92934916176048,57347398050720,10750096,10344338,243300960
1786148392,92963031120096,57350969448492,10750205,10347128,243301661
1786148394,92991736574412,57354282166592,10750254,10349441,243301851
1786148396,93018700495592,57357348635616,10750285,10350774,243302092
1786148398,93046685069872,57360134431720,10750297,10351997,243302137
1786148400,93073058716148,57362695247852,10750299,10352501,243302143
1786148402,93099929158720,57365034899748,10750299,10352764,243302143
1786148404,93127963448440,57367190578528,10750299,10353188,243302143
1786148406,93155969584768,57369142483780,10750299,10353301,243302143
1786148408,93183957615496,57370898881396,10750299,10353358,243302143
1786148410,93211035232936,57372454150520,10750299,10353372,243302143
1786148412,93238860631136,57373888420008,10750299,10353386,243302143
1786148414,93264781312408,57375205712168,10750299,10353389,243302143
1786148416,93291725581616,57376375352492,10750299,10353389,243302143
1786148418,93316983026600,57377356466520,10750299,10353389,243302143
1786148420,93342863666932,57378188008280,10750299,10353389,243302143
1786148422,93368464982180,57378874016980,10750299,10353389,243302143
1786148424,93394099930104,57379412182576,10750299,10353389,243302143
1786148426,93419519660680,57379735467056,10750299,10353389,243302143
1786148428,93445503736388,57379981033856,10750299,10353389,243302143
1786148430,93470369414768,57380179149536,10750299,10353389,243302143
1786148432,93494084228064,57380363740832,10750299,10353389,243302143
1786148434,93518999609856,57380547030116,10750299,10353389,243302143
1786148436,93544928940984,57380710552920,10750299,10353389,243302143
1786148438,93570412975064,57380815279216,10750299,10353389,243302143
1786148440,93598650261228,57380931380596,10750299,10353389,243302143
